Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Connor Barth kicks off 68 yards, returned by Leon Washington for 25 yards (tackle by Jamaal Charles)",0.000,0.740
1,14:52,1,10,NYJ 27,0,0,Brett Favre pass incomplete short right intended for Laveranues Coles,0.740,0.200
1,14:46,2,10,NYJ 27,0,0,Thomas Jones left tackle for 5 yards (tackle by Brandon Flowers),0.200,0.170
1,14:03,3,5,NYJ 32,0,0,Brett Favre pass complete short right to Jerricho Cotchery for 6 yards (tackle by Patrick Surtain),0.170,1.470
1,13:20,1,10,NYJ 38,0,0,Brett Favre pass complete short left to Jerricho Cotchery for 2 yards (tackle by Brandon Flowers),1.470,1.190
1,12:37,2,8,NYJ 40,0,0,Brett Favre pass complete short left to Laveranues Coles for 7 yards (tackle by Jarrad Page),1.190,1.420
1,11:56,3,1,NYJ 47,0,0,"Penalty on Leon Washington: False Start, 5 yards (no play)",1.420,0.760
1,11:29,3,6,NYJ 42,0,0,Brett Favre pass complete short middle to Chansi Stuckey for 14 yards (tackle by Brandon Carr),0.760,2.650
1,10:57,1,10,KAN 44,0,0,Thomas Jones left guard for 4 yards (tackle by Tamba Hali),2.650,2.650
1,10:23,2,6,KAN 40,0,0,Brett Favre pass complete deep left to Jerricho Cotchery for 21 yards (tackle by Bernard Pollard),2.650,4.310
1,9:42,1,10,KAN 19,0,0,Thomas Jones right end for 1 yard (tackle by Derrick O. Johnson),4.310,3.880
1,8:57,2,9,KAN 18,0,6,"Brett Favre pass complete short right to Leon Washington for 18 yards, touchdown",3.880,7.000
1,,,,KAN 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,NYJ 30,0,7,"Jay Feely kicks off 62 yards, returned by Dantrell Savage for 11 yards (tackle by Ahmad Carroll)",0.000,0.150
1,8:44,1,10,KAN 19,0,7,Kolby Smith right tackle for -2 yards (tackle by Kerry Rhodes),0.150,-0.720
1,8:10,2,12,KAN 17,0,7,Tyler Thigpen pass complete short right to Tony Gonzalez for 17 yards (tackle by Dwight Lowery),-0.720,1.200
1,7:35,1,10,KAN 34,0,7,Kolby Smith left tackle for 1 yard (tackle by Kenyon Coleman),1.200,0.790
1,6:59,2,9,KAN 35,0,7,Kolby Smith right guard for 2 yards (tackle by Calvin Pace and Kenyon Coleman),0.790,0.370
1,6:19,3,7,KAN 37,0,7,Tyler Thigpen sacked by Shaun Ellis for -7 yards,0.370,-1.370
1,5:40,4,14,KAN 30,0,7,"Steve Weatherford punts 43 yards, returned by Leon Washington for 29 yards (tackle by Pat Thomas)",-1.370,-2.650
1,5:23,1,10,KAN 44,0,7,Brett Favre pass complete deep middle to Dustin Keller for 23 yards (tackle by Bernard Pollard),2.650,4.170
1,4:38,1,10,KAN 21,0,7,Brad Smith right end for 1 yard (tackle by Derrick O. Johnson),4.170,3.760
1,3:54,2,9,KAN 20,0,7,Jesse Chatman up the middle for -1 yards (tackle by Tamba Hali and Derrick O. Johnson),3.760,2.940
1,3:11,3,10,KAN 21,0,7,Brett Favre pass complete short left to Jesse Chatman for 3 yards (tackle by Brandon Flowers),2.940,2.250
1,2:32,4,7,KAN 18,0,7,Jay Feely 36 yard field goal no good,2.250,-0.670
1,2:29,1,10,KAN 26,0,7,Tyler Thigpen sacked by Kerry Rhodes for -5 yards,0.670,-0.550
1,1:52,2,15,KAN 21,0,7,Tyler Thigpen pass complete short left to Brad Cottam for 11 yards (tackle by Calvin Pace),-0.550,0.230
1,1:12,3,4,KAN 32,0,7,Tyler Thigpen pass complete short left to Tony Gonzalez for 2 yards (tackle by Darrelle Revis),0.230,-1.110
1,1:12,4,2,KAN 34,0,7,"Steve Weatherford punts 35 yards, returned by Leon Washington for 5 yards (tackle by Demorrio Williams)",-1.110,-1.330
1,0:17,1,10,NYJ 36,0,7,Brett Favre pass incomplete deep left intended for Jerricho Cotchery is intercepted by Brandon Flowers at KAN-35 and returned for 27 yards (tackle by Tony Richardson),1.330,-3.050
1,0:04,1,10,NYJ 38,0,7,Tyler Thigpen pass complete short left to Mark Bradley for 4 yards (tackle by Dwight Lowery),3.050,3.050
Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NYJ 34,0,7,Tyler Thigpen pass complete short left to Dwayne Bowe for 12 yards (tackle by Darrelle Revis),3.050,4.110
