Unnamed: 0,KAN,NYJ
First Downs,17,22
Rush-Yds-TDs,20-80-0,24-135-2
Cmp-Att-Yd-TD-INT,25-36-280-2-0,28-41-290-2-3
Sacked-Yards,4-30,1-5
Net Pass Yards,250,285
Total Yards,330,420
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,4-39,4-20
Third Down Conv.,4-13,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,26:44,33:16
