Unnamed: 0,JAX,CLE
First Downs,23,20
Rush-Yds-TDs,29-108-1,28-148-1
Cmp-Att-Yd-TD-INT,22-41-210-0-0,17-24-199-1-1
Sacked-Yards,1-15,2-13
Net Pass Yards,195,186
Total Yards,303,334
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,9-81,9-70
Third Down Conv.,7-15,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,30:53,29:07
