Quarter,Time,Tm,Detail,JAX,CLE
2.0,10:50,Jaguars,Maurice Jones-Drew 6 yard rush (Josh Scobee kick),7,0
,3:21,Browns,Chris Ogbonnaya 1 yard rush (Phil Dawson kick),7,7
4.0,12:15,Browns,Josh Cribbs 3 yard pass from Colt McCoy (Phil Dawson kick),7,14
,5:39,Jaguars,Josh Scobee 42 yard field goal,10,14
