Unnamed: 0,SEA,NOR
First Downs,15,28
Rush-Yds-TDs,17-74-1,35-123-1
Cmp-Att-Yd-TD-INT,23-36-296-0-1,27-35-265-1-0
Sacked-Yards,1-11,2-13
Net Pass Yards,285,252
Total Yards,359,375
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,11-76,2-10
Third Down Conv.,5-11,9-15
Fourth Down Conv.,0-1,0-0
Time of Possession,23:48,36:12
