Unnamed: 0,CHI,CAR
First Downs,8,15
Rush-Yds-TDs,22-55-0,39-88-2
Cmp-Att-Yd-TD-INT,15-30-163-2-0,18-35-179-1-0
Sacked-Yards,4-32,3-14
Net Pass Yards,131,165
Total Yards,186,253
Fumbles-Lost,4-4,3-2
Turnovers,4,2
Penalties-Yards,3-32,4-40
Third Down Conv.,4-15,5-21
Fourth Down Conv.,0-1,0-1
Time of Possession,23:10,36:50
