Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
2,9:43,3,2,CHI 43,7,7,Rodney Peete pass incomplete intended for Nick Goings,2.010,0.400
2,9:38,4,2,CHI 43,7,7,"Todd Sauerbrun punts 30 yards, muffed catch by Ahmad Merritt, recovered by Emmanuel McDaniel and returned for no gain",0.400,4.840
2,9:29,1,10,CHI 11,7,7,Rodney Peete pass complete to Muhsin Muhammad for 10 yards (tackle by Rosevelt Colvin),4.840,6.970
2,8:47,1,1,CHI 1,7,7,Rodney Peete pass incomplete intended for Brad Hoover,6.970,5.910
2,8:42,2,1,CHI 1,7,13,"Dee Brown right tackle for 1 yard, touchdown",5.910,7.000
2,8:42,,,CHI 1,7,14,Shayne Graham kicks extra point good,0.000,0.000
2,8:42,,,CAR 30,7,14,"Todd Sauerbrun kicks off 58 yards, returned by Ahmad Merritt for 23 yards (tackle by Nick Goings)",0.000,1.270
2,8:33,1,10,CHI 35,7,14,Leon Johnson left guard for no gain (tackle by Mike Rucker),1.270,0.720
2,7:57,2,10,CHI 35,7,14,Leon Johnson right tackle for 1 yard (tackle by Brian Allen),0.720,0.170
2,7:15,3,9,CHI 36,7,14,"Chris Chandler pass incomplete intended for Marty Booker (defended by Terry Cousin). Penalty on Olin Kreutz: Chop Block (Offsetting), Penalty on Brentson Buckner: Roughing the Passer (Offsetting) (no play)",0.170,0.170
2,7:07,3,9,CHI 36,7,14,Henry Burris pass incomplete intended for Dez White,0.170,-0.980
2,7:00,4,9,CHI 36,7,14,"Brad Maynard punts 45 yards, out of bounds",-0.980,-0.150
2,6:53,1,10,CAR 19,7,14,Rodney Peete pass incomplete intended for Dee Brown,0.150,-0.390
2,6:47,2,10,CAR 19,7,14,Dee Brown left end for 5 yards (tackle by Michael Green and Rosevelt Colvin),-0.390,-0.420
2,6:10,3,5,CAR 24,7,14,Rodney Peete pass incomplete intended for Isaac Byrd,-0.420,-1.770
2,6:04,4,5,CAR 24,7,14,"Todd Sauerbrun punts 39 yards, returned by Leon Johnson for 6 yards (tackle by Brad Jackson)",-1.770,-1.800
2,5:54,1,10,CHI 43,7,14,"Henry Burris sacked by Al Wallace for -5 yards. Henry Burris fumbles (forced by Al Wallace), recovered by Will Witherspoon at CHI-41",1.800,-2.850
2,5:46,1,10,CHI 41,7,14,Dee Brown right end for 12 yards (tackle by Bryan Robinson),2.850,3.640
2,5:08,1,10,CHI 29,7,14,Dee Brown left guard for 2 yards (tackle by Phillip Daniels),3.640,3.370
2,4:32,2,8,CHI 27,7,14,"Rodney Peete pass incomplete intended for Muhsin Muhammad. Penalty on Roosevelt Williams: Defensive Pass Interference, 22 yards (no play)",3.370,6.060
2,4:27,1,5,CHI 5,7,14,Dee Brown right end for 2 yards (tackle by Roosevelt Williams),6.060,5.530
2,3:57,2,3,CHI 3,7,20,"Rodney Peete pass complete to Muhsin Muhammad for 3 yards, touchdown",5.530,7.000
2,3:57,,,CHI 3,7,21,Shayne Graham kicks extra point good,0.000,0.000
2,3:57,,,CAR 30,7,21,"Todd Sauerbrun kicks off 60 yards, returned by Ahmad Merritt for 15 yards (tackle by Kemp Rasmussen)",0.000,0.610
2,3:47,1,10,CHI 25,7,21,Leon Johnson right guard for -2 yards (tackle by Kris Jenkins),0.610,-0.210
2,3:06,2,12,CHI 23,7,21,Henry Burris middle for -4 yards (tackle by Mike Rucker),-0.210,-1.510
2,2:31,3,16,CHI 19,7,21,Henry Burris pass incomplete,-1.510,-2.140
2,2:26,4,16,CHI 19,7,21,"Brad Maynard punts 52 yards, returned by Steve Smith for 24 yards (tackle by Larry Whigham)",-2.140,-2.460
2,2:13,1,10,CHI 47,7,21,Rodney Peete pass incomplete intended for Steve Smith,2.460,1.910
2,2:09,2,10,CHI 47,7,21,Rodney Peete pass incomplete intended for Nick Goings,1.910,1.220
2,2:05,3,10,CHI 47,7,21,Rodney Peete sacked by Mike Caldwell for -9 yards,1.220,-0.460
2,2:00,4,19,CAR 44,7,21,Todd Sauerbrun punts 34 yards,-0.460,-0.410
2,1:47,1,10,CHI 22,7,21,Leon Johnson middle for 2 yards (tackle by Josh Taves and Mike Rucker),0.410,0.140
2,1:23,2,8,CHI 24,7,21,Henry Burris pass incomplete intended for Marty Booker (defended by Deon Grant),0.140,-0.560
2,1:20,3,8,CHI 24,7,21,Henry Burris pass incomplete intended for Marty Booker (defended by Terry Cousin),-0.560,-1.770
2,1:14,4,8,CHI 24,7,21,"Brad Maynard punts 25 yards, out of bounds",-1.770,-2.320
2,1:07,1,10,CHI 49,7,21,Rodney Peete pass complete to Nick Goings for 5 yards (tackle by Roosevelt Williams and Michael Green),2.320,2.460
2,0:45,2,5,CHI 44,7,21,Rodney Peete pass incomplete intended for Kris Mangum,2.460,1.750
2,0:41,3,5,CHI 44,7,21,Rodney Peete pass complete to Isaac Byrd for 4 yards (tackle by Michael Green),1.750,0.590
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,0:30,4,1,CHI 40,7,21,"Dee Brown right guard for -2 yards (tackle by Bryan Robinson). Dee Brown fumbles (forced by Bryan Robinson), recovered by Alex Brown at CHI-42 (tackle by Todd Steussie)",0.590,-1.730
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:21,1,10,CHI 42,7,21,Henry Burris pass complete to Leon Johnson for no gain,1.730,1.190
2,0:12,1,10,CHI 42,,,Timeout #1 by Chicago Bears,1.730,1.190
2,0:12,2,10,CHI 42,7,21,Henry Burris pass complete to Marcus Robinson for 28 yards (tackle by Will Witherspoon),1.190,3.580
2,0:01,2,10,CHI 42,,,Timeout #2 by Chicago Bears,1.190,1.190
2,0:01,2,10,CHI 42,,,Timeout #2 by Carolina Panthers,1.190,3.580
2,0:01,1,10,CAR 30,7,21,"Paul Edinger 48 yard field goal no good, blocked by Kris Jenkins, recovered by Terry Cousin and returned for 20 yards",3.580,0.000
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,7,21,"Paul Edinger kicks off 70 yards, returned by Isaac Byrd for 35 yards (tackle by Paul Edinger)",0.000,1.270
3,14:52,1,10,CAR 35,7,21,Dee Brown left end for 7 yards (tackle by Mike Brown),1.270,1.670
3,14:15,2,3,CAR 42,7,21,Dee Brown left end for no gain (tackle by Bryan Robinson),1.670,0.960
3,13:37,3,3,CAR 42,7,21,Rodney Peete pass incomplete intended for Isaac Byrd (defended by Michael Green),0.960,-0.590
3,13:31,4,3,CAR 42,7,21,Todd Sauerbrun punts 39 yards,-0.590,-0.150
3,13:19,1,10,CHI 19,7,21,Leon Johnson right end for -1 yards (tackle by Al Wallace),0.150,-0.560
3,12:46,2,11,CHI 18,7,21,Henry Burris pass incomplete (defended by Will Witherspoon),-0.560,-1.250
3,12:41,3,11,CHI 18,7,21,Henry Burris pass incomplete (defended by Mike Rucker),-1.250,-2.240
3,12:35,4,11,CHI 18,7,21,"Brad Maynard punts 51 yards, returned by Steve Smith for 2 yards (tackle by Rabih Abdullah)",-2.240,-1.140
3,12:24,1,10,CAR 33,7,21,Rodney Peete pass complete to Steve Smith for 6 yards (tackle by Rosevelt Colvin),1.140,1.400
3,11:48,2,4,CAR 39,7,21,Dee Brown right tackle for -1 yards (tackle by Bryan Robinson),1.400,0.560
3,11:08,3,5,CAR 38,7,21,Rodney Peete pass complete to Brad Hoover for 1 yard (tackle by Mike Caldwell),0.560,-0.780
3,10:34,4,4,CAR 39,7,21,"Todd Sauerbrun punts 52 yards, returned by Leon Johnson for 6 yards (tackle by Emmanuel McDaniel)",-0.780,0.220
3,10:20,1,10,CHI 15,7,21,Leon Johnson right tackle for 5 yards (tackle by Al Wallace),-0.220,0.080
3,9:42,2,5,CHI 20,7,21,Leon Johnson right guard for no gain (tackle by Brian Allen),0.080,-0.760
3,9:00,3,5,CHI 20,7,21,Henry Burris pass incomplete intended for Leon Johnson,-0.760,-2.030
3,8:54,4,5,CHI 20,7,21,Brad Maynard punts 66 yards,-2.030,0.280
3,8:42,1,10,CAR 14,7,21,Dee Brown right end for 12 yards (tackle by Mike Brown),-0.280,0.670
3,8:16,1,10,CAR 26,7,21,Nick Goings left end for no gain (tackle by Alex Brown),0.670,0.130
3,7:34,2,10,CAR 26,7,21,Joe Montgomery left end for 3 yards (tackle by Brian Urlacher),0.130,-0.160
3,6:52,3,7,CAR 29,7,21,Rodney Peete sacked by Bryan Knight and Joe Tafoya for -5 yards,-0.160,-1.770
3,6:25,4,12,CAR 24,7,21,"Todd Sauerbrun punts 53 yards, returned by Leon Johnson for 20 yards (tackle by Emmanuel McDaniel)",-1.770,-1.800
3,6:10,1,10,CHI 43,7,21,Adrian Peterson left guard for 8 yards (tackle by Mike Minter),1.800,2.330
3,5:38,2,2,CAR 49,7,21,Leon Johnson left guard for 4 yards (tackle by Brian Allen),2.330,2.590
3,5:01,1,10,CAR 45,7,21,Leon Johnson left tackle for 6 yards (tackle by Will Witherspoon),2.590,2.850
3,4:21,2,4,CAR 39,7,21,Leon Johnson left tackle for 2 yards (tackle by Mike Rucker),2.850,2.410
3,3:41,3,2,CAR 37,7,21,Leon Johnson left tackle for -2 yards (tackle by Mike Rucker),2.410,0.660
3,3:00,4,4,CAR 39,7,21,"Brad Maynard punts 28 yards, fair catch by Steve Smith",0.660,0.370
3,2:51,1,10,CAR 11,7,21,Joe Montgomery left end for 2 yards (tackle by Brian Urlacher),-0.370,-0.630
3,2:10,2,8,CAR 13,7,21,Rodney Peete pass incomplete intended for Steve Smith,-0.630,-1.190
3,2:04,3,8,CAR 13,7,21,Rodney Peete pass complete to Isaac Byrd for 15 yards (tackle by Jerry Azumah),-1.190,0.810
3,1:25,1,10,CAR 28,7,21,Joe Montgomery right tackle for 5 yards (tackle by Joe Tafoya),0.810,0.940
3,0:45,2,5,CAR 33,7,21,Joe Montgomery right tackle for 3 yards (tackle by Ernest Grant),0.940,0.630
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,CAR 36,7,21,Rodney Peete pass incomplete intended for Steve Smith (defended by Roosevelt Williams),0.630,-0.980
4,15:00,4,2,CAR 36,7,21,"Penalty on Larry Whigham: Neutral Zone Infraction, 5 yards (no play)",-0.980,1.660
4,14:55,1,10,CAR 41,7,21,Nick Goings right end for 2 yards (tackle by Rosevelt Colvin),1.660,1.390
4,14:14,2,8,CAR 43,7,21,Nick Goings left tackle for 1 yard (tackle by Bryan Robinson),1.390,0.830
4,13:34,3,7,CAR 44,7,21,"Rodney Peete sacked by Bryan Knight for 0 yards. Rodney Peete fumbles (forced by Bryan Knight), recovered by Brian Urlacher at CHI-49 and returned for 43 yards (tackle by Melvin Tuten)",0.830,-5.370
4,13:20,1,8,CAR 8,7,21,"Penalty on John Gilmore: False Start, 5 yards (no play)",5.370,4.530
4,13:20,1,13,CAR 13,7,21,Leon Johnson middle for 2 yards (tackle by Terry Cousin),4.530,4.020
4,12:42,2,11,CAR 11,7,21,Henry Burris right end for 6 yards (tackle by Will Witherspoon),4.020,4.260
4,11:54,3,5,CAR 5,13,21,"Henry Burris pass complete to Dez White for 5 yards, touchdown",4.260,7.000
4,11:54,,,CAR 5,14,21,Paul Edinger kicks extra point good,0.000,0.000
4,11:54,,,CHI 30,14,21,"Paul Edinger kicks off 55 yards, returned by Steve Smith for 16 yards (tackle by Rabih Abdullah)",0.000,1.000
4,11:44,1,10,CAR 31,14,21,Rodney Peete pass complete to Muhsin Muhammad for 2 yards (tackle by Jerry Azumah),1.000,0.730
4,11:07,2,8,CAR 33,14,21,Dee Brown right end for -4 yards (tackle by Brian Urlacher),0.730,-0.490
4,10:26,3,12,CAR 29,14,21,Rodney Peete pass complete to Nick Goings for 14 yards (tackle by Brian Urlacher),-0.490,1.800
4,10:01,1,10,CAR 43,14,21,Dee Brown left guard for 2 yards (tackle by Alex Brown),1.800,1.520
4,9:22,2,8,CAR 45,14,21,Rodney Peete pass incomplete intended for Steve Smith,1.520,0.830
4,9:17,3,8,CAR 45,14,21,Rodney Peete pass complete to Steve Smith for 15 yards (tackle by Larry Whigham),0.830,2.920
4,8:37,1,10,CHI 40,14,21,Rodney Peete pass incomplete intended for Muhsin Muhammad,2.920,2.370
4,8:32,2,10,CHI 40,14,21,Nick Goings left guard for 2 yards (tackle by Ernest Grant),2.370,1.950
4,7:52,3,8,CHI 38,14,21,Rodney Peete pass incomplete intended for Isaac Byrd (defended by Rosevelt Colvin),1.950,0.720
4,7:46,4,8,CHI 38,14,21,"Todd Sauerbrun punts 38 yards, touchback",0.720,-0.280
4,7:34,1,10,CHI 20,14,21,"Henry Burris sacked by Mark Fields for -10 yards. Henry Burris fumbles (forced by Mark Fields), recovered by Mark Fields at CHI-7",0.280,-5.600
4,7:24,1,7,CHI 7,14,21,Dee Brown right end for -1 yards (tackle by Brian Urlacher),5.600,4.570
4,6:43,2,8,CHI 8,14,21,Dee Brown right end for no gain (tackle by Mike Brown),4.570,3.580
4,6:00,3,8,CHI 8,14,21,Dee Brown middle for no gain (tackle by Brian Urlacher),3.580,2.950
4,5:20,4,8,CHI 8,14,24,Shayne Graham 25 yard field goal good,2.950,3.000
4,5:20,,,CAR 30,14,24,"Todd Sauerbrun kicks off 65 yards, returned by Ahmad Merritt for 12 yards (tackle by Rod Smart)",0.000,-0.060
4,5:11,1,10,CHI 17,14,24,Henry Burris pass complete to Marty Booker for 2 yards (tackle by Reggie Howard),-0.060,-0.250
4,4:46,2,8,CHI 19,14,24,Henry Burris pass complete to Leon Johnson for 2 yards (tackle by Reggie Howard),-0.250,-0.750
4,4:40,3,6,CHI 21,14,24,Henry Burris pass incomplete intended for Marty Booker,-0.750,-1.960
4,4:35,4,6,CHI 21,14,24,"Brad Maynard punts 37 yards, returned by Isaac Byrd for 17 yards (tackle by Rabih Abdullah)",-1.960,-2.850
4,4:25,1,10,CHI 41,14,24,Joe Montgomery right end for 5 yards (tackle by Bobbie Howard),2.850,2.980
4,4:16,1,10,CHI 41,,,Timeout #1 by Chicago Bears,2.850,2.980
4,4:16,2,5,CHI 36,14,24,Joe Montgomery middle for 3 yards (tackle by Brian Urlacher),2.980,2.680
4,4:10,2,5,CHI 36,,,Timeout #2 by Chicago Bears,2.980,2.680
4,4:10,3,2,CHI 33,14,24,Joe Montgomery left guard for -1 yards (tackle by Brian Urlacher),2.680,1.090
4,4:06,3,2,CHI 33,,,Timeout #3 by Chicago Bears,2.680,1.090
4,4:06,4,3,CHI 34,14,24,Todd Sauerbrun punts 19 yards,1.090,0.220
4,3:53,1,10,CHI 15,14,24,Henry Burris pass complete to Marty Booker for 7 yards (tackle by Terry Cousin),-0.220,0.350
4,3:35,2,3,CHI 22,14,24,Henry Burris pass incomplete intended for Marcus Robinson (defended by Deon Grant),0.350,-0.510
4,3:28,3,3,CHI 22,14,24,Henry Burris pass complete to Marty Booker for 3 yards (tackle by Mike Minter),-0.510,0.610
4,3:02,1,10,CHI 25,14,24,Henry Burris pass incomplete intended for Ahmad Merritt (defended by Reggie Howard),0.610,0.060
4,2:59,2,10,CHI 25,14,24,Henry Burris pass incomplete intended for Dez White (defended by Mike Minter),0.060,-0.620
4,2:54,3,10,CHI 25,14,24,Henry Burris right end for 15 yards (tackle by Deon Grant),-0.620,1.600
4,2:28,1,10,CHI 40,14,24,Henry Burris pass incomplete intended for Marcus Robinson (defended by Dante Wesley),1.600,1.050
4,2:24,2,10,CHI 40,14,24,Henry Burris pass incomplete intended for Marcus Robinson (defended by Will Witherspoon),1.050,0.370
4,2:20,3,10,CHI 40,14,24,"Henry Burris pass incomplete intended for Dez White. Penalty on Terry Cousin: Defensive Offside, 5 yards (no play)",0.370,1.030
4,2:15,3,5,CHI 45,14,24,Henry Burris pass complete to Marty Booker for 3 yards (tackle by Reggie Howard),1.030,-0.190
4,2:00,4,2,CHI 48,14,24,Henry Burris pass incomplete intended for Marty Booker,-0.190,-2.390
4,1:54,1,10,CHI 48,14,24,Rodney Peete kneels for -2 yards,2.390,1.580
4,1:14,2,12,,14,24,Rodney Peete kneels for -1 yards,1.580,0.760
4,0:34,3,13,CAR 49,14,24,Rodney Peete kneels for -1 yards,0.760,-0.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
