Unnamed: 0,BUF,MIA
First Downs,15,15
Rush-Yds-TDs,25-63-1,38-143-1
Cmp-Att-Yd-TD-INT,12-23-157-0-1,16-29-131-0-0
Sacked-Yards,2-6,1-5
Net Pass Yards,151,126
Total Yards,214,269
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,2-10,7-39
Third Down Conv.,2-10,9-19
Fourth Down Conv.,1-1,1-3
Time of Possession,23:01,36:59
