Unnamed: 0,PHI,WAS
First Downs,11,21
Rush-Yds-TDs,27-122-1,19-62-0
Cmp-Att-Yd-TD-INT,16-26-161-1-0,29-43-284-2-1
Sacked-Yards,3-21,6-38
Net Pass Yards,140,246
Total Yards,262,308
Fumbles-Lost,2-0,4-3
Turnovers,0,4
Penalties-Yards,12-66,6-60
Third Down Conv.,4-15,3-12
Fourth Down Conv.,0-1,1-2
Time of Possession,28:18,31:42
