Quarter,Time,Tm,Detail,PHI,WAS
1.0,13:06,Eagles,DeSean Jackson 67 yard rush (David Akers kick),7,0
,1:00,Eagles,Will Witherspoon 9 yard interception return (David Akers kick),14,0
2.0,13:26,Eagles,David Akers 47 yard field goal,17,0
,8:00,Redskins,Devin Thomas 2 yard pass from Jason Campbell (Shaun Suisham kick),17,7
,4:08,Eagles,David Akers 44 yard field goal,20,7
,1:50,Eagles,DeSean Jackson 57 yard pass from Donovan McNabb (David Akers kick),27,7
,0:01,Redskins,Shaun Suisham 47 yard field goal,27,10
4.0,1:38,Redskins,Fred Davis 1 yard pass from Jason Campbell (Shaun Suisham kick),27,17
