Quarter,Time,Tm,Detail,HOU,NWE
1.0,10:33,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,7:22,Texans,Ka'imi Fairbairn 39 yard field goal,3,7
,1:51,Texans,Bruce Ellington 29 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,7
2.0,12:25,Patriots,Chris Hogan 7 yard pass from Tom Brady (Stephen Gostkowski kick),10,14
,7:01,Texans,Ka'imi Fairbairn 40 yard field goal,13,14
,6:15,Texans,Jadeveon Clowney 22 yard fumble return (Ka'imi Fairbairn kick),20,14
,3:58,Patriots,Chris Hogan 47 yard pass from Tom Brady (Stephen Gostkowski kick),20,21
3.0,12:45,Patriots,Brandin Cooks 42 yard pass from Tom Brady (Stephen Gostkowski kick),20,28
,7:12,Texans,Ryan Griffin 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),27,28
4.0,12:13,Texans,Ka'imi Fairbairn 31 yard field goal,30,28
,2:24,Texans,Ka'imi Fairbairn 36 yard field goal,33,28
,0:23,Patriots,Brandin Cooks 25 yard pass from Tom Brady (Brandin Cooks pass from Tom Brady),33,36
