Unnamed: 0,GNB,CHI
First Downs,20,29
Rush-Yds-TDs,23-226-3,19-95-1
Cmp-Att-Yd-TD-INT,19-31-252-0-0,30-43-362-2-3
Sacked-Yards,4-27,1-8
Net Pass Yards,225,354
Total Yards,451,449
Fumbles-Lost,0-0,1-1
Turnovers,0,4
Penalties-Yards,8-64,6-40
Third Down Conv.,3-10,3-8
Fourth Down Conv.,0-1,0-0
Time of Possession,32:47,27:13
