Quarter,Time,Tm,Detail,GNB,CHI
1.0,9:57,Packers,Ty Montgomery 4 yard rush (Mason Crosby kick),7,0
2.0,6:00,Bears,Connor Barth 26 yard field goal,7,3
,2:16,Bears,Josh Bellamy 10 yard pass from Matt Barkley (Connor Barth kick),7,10
,0:32,Packers,Mason Crosby 34 yard field goal,10,10
3.0,11:10,Packers,Mason Crosby 18 yard field goal,13,10
,4:53,Packers,Ty Montgomery 3 yard rush (Mason Crosby kick),20,10
,1:03,Packers,Christine Michael 42 yard rush (Mason Crosby kick),27,10
4.0,13:27,Bears,Alshon Jeffery 8 yard pass from Matt Barkley (Connor Barth kick),27,17
,7:34,Bears,Jordan Howard 9 yard rush (Connor Barth kick),27,24
,1:19,Bears,Connor Barth 22 yard field goal,27,27
,0:00,Packers,Mason Crosby 32 yard field goal,30,27
