Unnamed: 0,PHI,SEA
First Downs,20,10
Rush-Yds-TDs,28-72-0,22-86-0
Cmp-Att-Yd-TD-INT,28-43-349-2-1,13-29-169-1-0
Sacked-Yards,1-2,4-22
Net Pass Yards,347,147
Total Yards,419,233
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,1-15,4-20
Third Down Conv.,6-16,4-15
Fourth Down Conv.,1-1,0-0
Time of Possession,37:15,22:45
