Quarter,Time,Tm,Detail,PHI,SEA
1.0,13:11,Seahawks,Koren Robinson 90 yard pass from Seneca Wallace (Olindo Mare kick),0,7
2.0,6:33,Eagles,Reggie Brown 22 yard pass from Donovan McNabb (David Akers kick),7,7
,0:40,Eagles,Todd Herremans 1 yard pass from Donovan McNabb (David Akers kick),14,7
3.0,11:25,Eagles,David Akers 39 yard field goal,17,7
,1:26,Eagles,David Akers 24 yard field goal,20,7
4.0,9:27,Eagles,David Akers 42 yard field goal,23,7
,4:35,Eagles,David Akers 39 yard field goal,26,7
