Unnamed: 0,MIN,LAC
First Downs,24,20
Rush-Yds-TDs,33-103-1,19-82-1
Cmp-Att-Yd-TD-INT,25-37-294-2-0,20-34-195-1-1
Sacked-Yards,2-16,2-24
Net Pass Yards,278,171
Total Yards,381,253
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,10-118,7-52
Third Down Conv.,5-14,5-12
Fourth Down Conv.,2-2,0-0
Time of Possession,36:10,23:50
