Quarter,Time,Tm,Detail,MIN,LAC
2.0,14:12,Vikings,Greg Joseph 46 yard field goal,3,0
,11:28,Chargers,Dustin Hopkins 46 yard field goal,3,3
,6:38,Vikings,Greg Joseph 30 yard field goal,6,3
,3:26,Vikings,Tyler Conklin 5 yard pass from Kirk Cousins (Greg Joseph kick),13,3
,1:30,Chargers,Larry Rountree 1 yard rush (Dustin Hopkins kick),13,10
3.0,10:40,Chargers,Austin Ekeler 2 yard pass from Justin Herbert (Dustin Hopkins kick),13,17
,2:33,Vikings,Tyler Conklin 1 yard pass from Kirk Cousins (Greg Joseph kick),20,17
4.0,9:29,Vikings,Dalvin Cook 1 yard rush (Greg Joseph kick),27,17
,4:36,Chargers,Dustin Hopkins 24 yard field goal,27,20
