Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
1,7:51,1,10,LAC 40,0,0,Austin Ekeler right end for 4 yards (tackle by Armon Watts and Nick Vigil),,
1,7:18,2,6,LAC 44,0,0,Justin Herbert pass complete short left to Mike Williams for 10 yards (tackle by Eric Kendricks and Mackensie Alexander),,
1,6:43,1,10,MIN 46,0,0,Austin Ekeler up the middle for 5 yards (tackle by Blake Lynch),,
1,6:08,2,5,MIN 41,0,0,Larry Rountree up the middle for 1 yard (tackle by Eric Kendricks),,
1,5:24,3,4,MIN 40,0,0,Justin Herbert pass incomplete short left intended for Josh Palmer,,
1,5:21,4,4,MIN 40,0,0,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",,
1,5:21,4,9,MIN 45,0,0,"Ty Long punts 32 yards, fair catch by Dede Westbrook at MIN-13",,
1,5:12,1,10,MIN 13,0,0,"Kirk Cousins pass incomplete deep right intended for Justin Jefferson (defended by Asante Samuel). Penalty on Oli Udoh: Offensive Holding, 6 yards (accepted) (no play)",,
1,5:04,1,16,MIN 7,0,0,Kirk Cousins pass complete short middle to Alexander Mattison for 24 yards (tackle by Derwin James and Kyzir White),,
1,4:20,1,10,MIN 31,0,0,Dalvin Cook left end for 12 yards (tackle by Derwin James),,
1,3:38,1,10,MIN 43,0,0,Kirk Cousins pass complete short left to Justin Jefferson for 7 yards (tackle by Tevaughn Campbell),,
1,3:00,2,3,MIN 50,0,0,Alexander Mattison up the middle for 6 yards (tackle by Jerry Tillery),,
1,2:27,1,10,LAC 44,0,0,Kirk Cousins pass complete short right to C.J. Ham for 7 yards (tackle by Asante Samuel),,
1,1:50,2,3,LAC 37,0,0,Dalvin Cook right tackle for 6 yards (tackle by Amen Ogbongbemiga),,
1,1:15,1,10,LAC 31,0,0,Kirk Cousins sacked by Amen Ogbongbemiga for -9 yards,,
1,0:29,2,19,LAC 40,0,0,Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Tevaughn Campbell),,
Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,LAC 31,0,0,Kirk Cousins pass complete short left to Adam Thielen for 3 yards (tackle by Chris Harris),,
2,14:16,4,6,LAC 28,3,0,Greg Joseph 46 yard field goal good,,
2,14:12,,,MIN 35,3,0,"Greg Joseph kicks off 65 yards, touchback.",,
2,14:12,1,10,LAC 25,3,0,Justin Herbert pass complete short right to Keenan Allen for 18 yards (tackle by Camryn Bynum),,
2,13:34,1,10,LAC 43,3,0,"Justin Herbert pass complete short left to Jared Cook for no gain (tackle by Cameron Dantzler). Penalty on Patrick Jones: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
2,13:07,1,10,LAC 48,3,0,Larry Rountree left end for no gain (tackle by James Lynch and Patrick Jones),,
2,12:35,2,10,LAC 48,3,0,"Justin Herbert pass incomplete deep right intended for Mike Williams. Penalty on Bashaud Breeland: Defensive Pass Interference, 19 yards (accepted) (no play)",,
2,12:30,1,10,MIN 33,3,0,Justin Herbert pass complete short right to Keenan Allen for 2 yards (tackle by Cameron Dantzler),,
2,11:57,2,8,MIN 31,3,0,Austin Ekeler right tackle for 4 yards (tackle by Camryn Bynum),,
2,11:38,3,4,MIN 27,3,0,Justin Herbert pass incomplete short right intended for Austin Ekeler,,
2,11:33,4,4,MIN 27,3,3,Dustin Hopkins 46 yard field goal good,,
2,11:28,,,LAC 35,3,3,"Dustin Hopkins kicks off 64 yards, returned by Kene Nwangwu for 23 yards (tackle by Nick Niemann)",,
2,11:28,1,10,MIN 39,3,3,"Penalty on Chris Rumph: Taunting / Defense, 15 yards (accepted) (no play)",,
2,11:23,1,10,MIN 39,3,3,Kirk Cousins pass incomplete deep left intended for Adam Thielen,,
2,11:18,2,10,MIN 39,3,3,"Penalty on Justin Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,11:18,2,5,MIN 44,3,3,"Dalvin Cook up the middle for no gain (tackle by Kenneth Murray). Penalty on Oli Udoh: Offensive Holding, 10 yards (accepted) (no play)",,
2,10:58,2,15,MIN 34,3,3,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Asante Samuel),,
2,10:55,3,15,MIN 34,3,3,"Kirk Cousins pass complete deep left to Justin Jefferson for 18 yards. Penalty on Tevaughn Campbell: Defensive Pass Interference, 15 yards (declined)",,
2,10:31,1,10,LAC 48,3,3,Dalvin Cook left guard for 8 yards (tackle by Derwin James),,
2,9:52,2,2,LAC 40,3,3,Dalvin Cook right end for 5 yards (tackle by Kenneth Murray),,
2,9:14,1,10,LAC 35,3,3,Kirk Cousins pass complete short middle to Justin Jefferson for 21 yards (tackle by Chris Harris),,
2,8:35,1,10,LAC 14,3,3,Dalvin Cook right guard for 5 yards (tackle by Justin Jones and Derwin James),,
2,7:58,2,5,LAC 9,3,3,"Dalvin Cook left guard for no gain (tackle by Kenneth Murray). Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",,
2,7:33,1,4,LAC 4,3,3,Dalvin Cook left tackle for 3 yards (tackle by Joey Bosa),,
2,6:55,2,1,LAC 1,3,3,Kirk Cousins pass incomplete short right intended for Justin Jefferson,,
2,6:51,3,1,LAC 1,3,3,"Kirk Cousins pass complete short left to C.J. Ham for no gain, touchdown. Penalty on Christian Darrisaw: Offensive Holding, 10 yards (accepted) (no play)",,
2,6:47,3,11,LAC 11,3,3,Kirk Cousins pass incomplete short middle intended for Tyler Conklin (defended by Derwin James),,
2,6:42,4,11,LAC 11,6,3,Greg Joseph 30 yard field goal good,,
2,6:38,,,MIN 35,6,3,"Greg Joseph kicks off 67 yards, returned by Andre Roberts for 14 yards (tackle by Josh Metellus)",,
2,6:31,1,10,LAC 12,6,3,Justin Herbert pass deep left intended for Keenan Allen is intercepted by Eric Kendricks at LAC-31 and returned for no gain (tackle by Keenan Allen),,
2,6:26,1,10,LAC 31,6,3,"Kirk Cousins pass incomplete short left. Penalty on Kirk Cousins: Intentional Grounding, 10 yards (accepted)",,
2,6:24,2,20,LAC 41,6,3,Kirk Cousins pass complete short middle to Justin Jefferson for 21 yards (tackle by Alohi Gilman and Kyzir White),,
2,5:34,1,10,LAC 20,6,3,Kirk Cousins scrambles up the middle for 4 yards (tackle by Derwin James),,
2,4:55,2,6,LAC 16,6,3,Dalvin Cook left tackle for 7 yards (tackle by Kyzir White),,
2,4:24,1,9,LAC 9,6,3,Dalvin Cook up the middle for 4 yards (tackle by Linval Joseph and Alohi Gilman),,
2,3:30,2,5,LAC 5,12,3,"Kirk Cousins pass complete short middle to Tyler Conklin for 5 yards, touchdown",,
2,3:26,,,LAC 15,13,3,Greg Joseph kicks extra point good,,
2,3:26,,,MIN 35,13,3,"Greg Joseph kicks off 65 yards, touchback.",,
2,3:26,1,10,LAC 25,13,3,Austin Ekeler left end for 3 yards (tackle by James Lynch),,
2,2:51,2,7,LAC 28,13,3,Justin Herbert pass complete short right to Mike Williams for 7 yards (tackle by Bashaud Breeland),,
2,2:18,1,10,LAC 35,13,3,Justin Herbert right end for 17 yards (tackle by Camryn Bynum),,
2,2:00,1,10,MIN 48,13,3,Justin Herbert pass incomplete short right intended for Jalen Guyton,,
2,1:56,2,10,MIN 48,13,3,"Justin Herbert pass incomplete deep left intended for Keenan Allen. Penalty on Mackensie Alexander: Defensive Pass Interference, 28 yards (accepted) (no play)",,
2,1:51,1,10,MIN 20,13,3,"Justin Herbert pass complete short left to Austin Ekeler for no gain (tackle by Nick Vigil). Penalty on Everson Griffen: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
2,1:46,1,10,MIN 15,13,3,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Xavier Woods),,
2,1:41,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:41,2,2,MIN 7,13,3,Austin Ekeler for 1 yard (tackle by Blake Lynch and Dalvin Tomlinson),,
2,1:36,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:36,3,1,MIN 6,13,3,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Bashaud Breeland),,
2,1:33,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:33,1,1,MIN 1,13,9,"Larry Rountree up the middle for 1 yard, touchdown",,
2,1:30,,,MIN 15,13,10,Dustin Hopkins kicks extra point good,,
2,1:30,,,LAC 35,13,10,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,1:30,1,10,MIN 25,13,10,Dalvin Cook left end for -3 yards (tackle by Uchenna Nwosu),,
2,1:25,,,,,,Timeout #3 by Los Angeles Chargers,,
2,1:25,2,13,MIN 22,13,10,Kirk Cousins pass incomplete deep right,,
2,1:16,3,13,MIN 22,13,10,Kirk Cousins pass incomplete short middle intended for K.J. Osborn,,
2,1:11,4,13,MIN 22,13,10,"Jordan Berry punts 42 yards, returned by Andre Roberts for 14 yards (tackle by Troy Dye and Andrew DePaola)",,
2,1:00,1,10,LAC 50,13,10,Justin Herbert pass incomplete short right,,
2,0:55,2,10,LAC 50,13,10,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Mackensie Alexander),,
2,0:37,3,6,MIN 46,13,10,Justin Herbert pass incomplete short right intended for Jared Cook (defended by Xavier Woods),,
2,0:32,4,6,MIN 46,13,10,Ty Long punts 35 yards downed by Amen Ogbongbemiga,,
2,0:21,1,10,MIN 11,13,10,Dalvin Cook up the middle for 5 yards (tackle by Kyzir White and Kyler Fackrell),,
Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,13,10,"Greg Joseph kicks off 65 yards, touchback.",,
3,15:00,1,10,LAC 25,13,10,Justin Herbert pass complete deep right to Keenan Allen for 22 yards (tackle by Bashaud Breeland),,
3,14:18,1,10,LAC 47,13,10,Justin Herbert pass complete short right to Donald Parham for 17 yards (tackle by Eric Kendricks),,
3,13:46,1,10,MIN 36,13,10,Larry Rountree left end for 3 yards (tackle by Blake Lynch),,
3,13:20,2,7,MIN 33,13,10,Justin Herbert pass complete short right to Mike Williams for 11 yards (tackle by Cameron Dantzler),,
3,12:46,1,10,MIN 22,13,10,Larry Rountree left end for 5 yards (tackle by Eric Kendricks),,
3,12:10,2,5,MIN 17,13,10,Justin Herbert pass incomplete short middle intended for Mike Williams (defended by Dalvin Tomlinson),,
3,12:05,3,5,MIN 17,13,10,Justin Herbert pass complete short left to Jared Cook for 10 yards (tackle by Xavier Woods),,
3,11:27,1,7,MIN 7,13,10,Austin Ekeler right guard for 5 yards (tackle by Dalvin Tomlinson and Eric Kendricks),,
3,10:48,2,2,MIN 2,13,10,Justin Herbert pass incomplete short right intended for Donald Parham (defended by Camryn Bynum),,
3,10:44,3,2,MIN 2,13,16,"Justin Herbert pass complete short middle to Austin Ekeler for 2 yards, touchdown",,
3,10:40,,,MIN 15,13,17,Dustin Hopkins kicks extra point good,,
3,10:40,,,LAC 35,13,17,"Dustin Hopkins kicks off 65 yards, touchback.",,
3,10:40,1,10,MIN 30,13,17,Kirk Cousins pass complete short left to Justin Jefferson for 4 yards (tackle by Alohi Gilman),,
3,10:14,2,6,MIN 34,13,17,Dalvin Cook right end for -1 yards (tackle by Kyzir White),,
3,9:32,3,7,MIN 33,13,17,Kirk Cousins pass incomplete short left intended for Dalvin Cook,,
3,9:25,4,7,MIN 33,13,17,"Jordan Berry punts 55 yards, returned by Andre Roberts for no gain (tackle by C.J. Ham and Troy Dye). Penalty on Kiondre Thomas: Offensive Holding, 6 yards (accepted)",,
3,9:12,1,10,LAC 6,13,17,Austin Ekeler up the middle for 9 yards (tackle by Camryn Bynum),,
3,8:35,2,1,LAC 15,13,17,Austin Ekeler left tackle for 2 yards (tackle by James Lynch),,
3,7:55,1,10,LAC 17,13,17,Joshua Kelley right tackle for 6 yards (tackle by James Lynch and Blake Lynch),,
3,7:14,2,4,LAC 23,13,17,Justin Herbert pass incomplete deep right intended for Austin Ekeler,,
3,7:10,3,4,LAC 23,13,17,Justin Herbert sacked by Camryn Bynum for -9 yards,,
3,6:35,4,13,LAC 14,13,17,"Ty Long punts 59 yards, returned by Dede Westbrook for 7 yards (tackle by Stephen Anderson and Trey Marshall)",,
3,6:20,1,10,MIN 34,13,17,Dalvin Cook up the middle for 3 yards (tackle by Joey Bosa and Derwin James),,
3,5:54,2,7,MIN 37,13,17,Kirk Cousins pass complete deep left to Justin Jefferson for 27 yards (tackle by Tevaughn Campbell),,
3,5:13,1,10,LAC 36,13,17,Kirk Cousins pass incomplete short right intended for Dalvin Cook,,
3,5:07,2,10,LAC 36,13,17,Kirk Cousins pass incomplete short middle intended for Chris Herndon,,
3,5:04,3,10,LAC 36,13,17,"Kirk Cousins pass incomplete short left intended for Justin Jefferson. Penalty on Chris Harris: Defensive Pass Interference, 11 yards (accepted) (no play)",,
3,4:59,1,10,LAC 25,13,17,Kirk Cousins pass complete short right to Adam Thielen for 19 yards (tackle by Derwin James),,
3,4:40,1,6,LAC 6,13,17,Dalvin Cook left tackle for 1 yard (tackle by Justin Jones),,
3,4:00,2,5,LAC 5,13,17,Dalvin Cook right guard for 4 yards (tackle by Kyzir White and Alohi Gilman),,
3,3:24,3,1,LAC 1,13,17,Dalvin Cook left guard for no gain (tackle by Jerry Tillery and Justin Jones),,
3,2:39,4,1,LAC 1,19,17,"Kirk Cousins pass complete short left to Tyler Conklin for 1 yard, touchdown",,
3,2:33,,,LAC 15,20,17,Greg Joseph kicks extra point good,,
3,2:33,,,MIN 35,20,17,"Greg Joseph kicks off 65 yards, touchback.",,
3,2:33,1,10,LAC 25,20,17,Austin Ekeler left tackle for 3 yards (tackle by Patrick Jones),,
3,1:55,2,7,LAC 28,20,17,Justin Herbert pass incomplete short right intended for Jared Cook,,
3,1:51,3,7,LAC 28,20,17,Justin Herbert pass incomplete short left intended for Keenan Allen,,
3,1:47,4,7,LAC 28,20,17,"Ty Long punts 57 yards, returned by Dede Westbrook for 17 yards (tackle by Maurice Ffrench and Larry Rountree)",,
3,1:33,1,10,MIN 32,20,17,Kirk Cousins pass complete short left to C.J. Ham for 3 yards (tackle by Kyzir White),,
3,0:58,2,7,MIN 35,20,17,Alexander Mattison left guard for 2 yards (tackle by Kyzir White and Kenneth Murray),,
3,0:12,3,5,MIN 37,20,17,Kirk Cousins pass complete short right to Justin Jefferson for 12 yards (tackle by Alohi Gilman),,
Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 49,20,17,Alexander Mattison right end for 7 yards (tackle by Tevaughn Campbell),,
4,14:24,2,3,LAC 44,20,17,Kirk Cousins pass complete short right to Dalvin Cook for 15 yards (tackle by Trey Marshall and Kyler Fackrell),,
4,13:42,1,10,LAC 29,20,17,Dalvin Cook left guard for no gain (tackle by Derwin James),,
4,13:02,2,10,LAC 29,20,17,Alexander Mattison left end for 1 yard (tackle by Jerry Tillery),,
4,12:23,3,9,LAC 28,20,17,Kirk Cousins pass complete short middle to Adam Thielen for 16 yards (tackle by Trey Marshall),,
4,11:41,1,10,LAC 12,20,17,Dalvin Cook left guard for 5 yards (tackle by Derwin James and Trey Marshall),,
4,10:59,2,5,LAC 7,20,17,Dalvin Cook right guard for 2 yards (tackle by Joey Bosa),,
4,10:20,3,3,LAC 5,20,17,Dalvin Cook up the middle for 4 yards (tackle by Justin Jones),,
4,10:05,1,1,LAC 1,26,17,"Dalvin Cook left tackle for 1 yard, touchdown",,
4,9:29,,,LAC 15,27,17,Greg Joseph kicks extra point good,,
4,9:29,,,MIN 35,27,17,"Greg Joseph kicks off 65 yards, touchback.",,
4,9:29,1,10,LAC 25,27,17,Austin Ekeler left guard for 3 yards (tackle by Blake Lynch),,
4,8:54,2,7,LAC 28,27,17,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Mackensie Alexander),,
4,8:19,1,10,LAC 35,27,17,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Bashaud Breeland),,
4,7:46,2,3,LAC 42,27,17,Justin Herbert pass incomplete short middle intended for Austin Ekeler,,
4,7:42,3,3,LAC 42,27,17,Justin Herbert pass complete deep right to Keenan Allen for 26 yards (tackle by Mackensie Alexander),,
4,7:06,1,10,MIN 32,27,17,Justin Herbert scrambles left end for 5 yards (tackle by Xavier Woods),,
4,6:35,2,5,MIN 27,27,17,"Justin Herbert pass complete to Keenan Allen for 6 yards MIN challenged the pass completion ruling, and the original play was overturned. Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Mackensie Alexander)",,
4,6:32,3,5,MIN 27,27,17,Justin Herbert pass complete short right to Josh Palmer for 13 yards (tackle by Bashaud Breeland),,
4,5:59,1,10,MIN 14,27,17,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Eric Kendricks),,
4,5:25,2,4,MIN 8,27,17,Justin Herbert pass incomplete short middle intended for Mike Williams,,
4,5:22,3,4,MIN 8,27,17,Justin Herbert pass complete short right to Josh Palmer for 2 yards (tackle by Bashaud Breeland),,
4,4:38,4,2,MIN 6,27,20,Dustin Hopkins 24 yard field goal good,,
4,4:36,,,LAC 35,27,20,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,4:36,1,10,MIN 25,27,20,"Dalvin Cook right end for no gain (tackle by Justin Jones). Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",,
4,4:31,1,20,MIN 15,27,20,Kirk Cousins pass complete short middle to C.J. Ham for 3 yards (tackle by Kenneth Murray and Kyzir White),,
4,3:52,2,17,MIN 18,27,20,Dalvin Cook up the middle for 11 yards (tackle by Trey Marshall and Justin Jones),,
4,3:02,3,6,MIN 29,27,20,"Kirk Cousins pass complete deep right to Justin Jefferson for 27 yards (tackle by Tevaughn Campbell) LAC challenged the pass completion ruling, and the play was upheld.",,
4,2:57,1,10,LAC 44,27,20,"Dalvin Cook left end for no gain (tackle by Asante Samuel). Penalty on Luke Stocker: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
4,2:51,1,25,MIN 41,27,20,Kirk Cousins pass complete short right to Tyler Conklin for 5 yards (tackle by Derwin James),,
4,2:45,,,,,,Timeout #3 by Los Angeles Chargers,,
4,2:45,2,20,MIN 46,27,20,Kirk Cousins pass incomplete deep left intended for Tyler Conklin,,
4,2:39,,,,,,Timeout #1 by Minnesota Vikings,,
4,2:39,3,20,MIN 46,27,20,Kirk Cousins pass complete deep middle to Adam Thielen for 18 yards (tackle by Tevaughn Campbell),,
4,2:32,,,,,,Timeout #3 by Los Angeles Chargers,,
4,2:32,4,2,LAC 36,27,20,Dalvin Cook right end for 4 yards (tackle by Linval Joseph),,
4,2:00,1,10,LAC 32,27,20,Kirk Cousins kneels for -3 yards,,
4,1:16,2,13,LAC 35,27,20,Kirk Cousins kneels for -2 yards,,
4,0:32,3,15,LAC 37,27,20,Kirk Cousins kneels for -2 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
