Unnamed: 0,DET,TEN
First Downs,36,21
Rush-Yds-TDs,36-141-1,19-59-0
Cmp-Att-Yd-TD-INT,43-55-450-3-0,29-42-378-2-0
Sacked-Yards,1-8,0-0
Net Pass Yards,442,378
Total Yards,583,437
Fumbles-Lost,1-1,2-2
Turnovers,1,2
Penalties-Yards,10-91,6-32
Third Down Conv.,3-12,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,40:36,27:49
