Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,TEN 20,0,0,Vince Young pass incomplete short middle intended for Justin Gage,0.280,-0.270
1,14:55,2,10,TEN 20,0,0,Chris Johnson left tackle for 2 yards (tackle by Jason Hunter and D.J. Williams),-0.270,-0.690
1,14:17,3,8,TEN 22,0,0,Vince Young pass complete short right to Nate Washington for 7 yards (tackle by Champ Bailey),-0.690,-1.440
1,13:38,4,1,TEN 29,0,0,Brett Kern punts 28 yards,-1.440,-1.800
1,13:27,1,10,DEN 43,0,0,Laurence Maroney right guard for -4 yards (tackle by Jason Jones and Will Witherspoon),1.800,0.710
1,12:49,2,14,DEN 39,0,0,Kyle Orton pass incomplete short middle intended for Jabar Gaffney,0.710,0.040
1,12:44,3,14,DEN 39,0,0,Kyle Orton pass incomplete short middle intended for Laurence Maroney,0.040,-0.780
1,12:38,4,14,DEN 39,0,0,"Britton Colquitt punts 42 yards, returned by Marc Mariani for 9 yards (tackle by Joe Mays)",-0.780,-0.810
1,12:28,1,10,TEN 28,0,0,Chris Johnson left tackle for 7 yards (tackle by Jason Hunter),0.810,1.210
1,11:56,2,3,TEN 35,0,0,Vince Young pass complete short left to Jared Cook for 17 yards (tackle by Brian Dawkins),1.210,2.390
1,11:21,1,10,DEN 48,0,0,Vince Young pass complete deep left to Bo Scaife for 25 yards (tackle by D.J. Williams),2.390,4.040
1,10:43,1,10,DEN 23,0,0,Chris Johnson middle for -1 yards (tackle by Robert Ayers),4.040,3.360
1,10:09,2,11,DEN 24,0,0,Vince Young pass incomplete short left intended for Chris Johnson,3.360,2.680
1,10:05,3,11,DEN 24,0,0,Chris Johnson middle for 7 yards (tackle by D.J. Williams and Justin Bannan),2.680,2.390
1,9:26,4,4,DEN 17,0,0,Rob Bironas 35 yard field goal no good,2.390,-0.610
1,9:21,1,10,DEN 25,0,0,Kyle Orton pass complete deep right to Eddie Royal for 23 yards,0.610,2.130
1,8:56,1,10,DEN 48,0,0,Laurence Maroney left end for no gain (tackle by Alterraun Verner),2.130,1.580
1,8:15,2,10,DEN 48,0,0,Kyle Orton pass complete short left to Brandon Lloyd for 14 yards (tackle by Alterraun Verner),1.580,3.050
1,7:46,1,10,TEN 38,0,0,Correll Buckhalter right guard for no gain (tackle by Vincent Fuller),3.050,2.510
1,7:19,2,10,TEN 38,0,0,Kyle Orton sacked by Dave Ball and Jason Babin for -5 yards,2.510,1.160
1,6:43,3,15,TEN 43,0,0,Kyle Orton sacked by Cortland Finnegan for -8 yards,1.160,-0.130
1,6:12,4,23,DEN 49,0,0,"Britton Colquitt punts 51 yards, touchback",-0.130,-0.280
1,6:02,1,10,TEN 20,0,0,Vince Young pass complete short left to Chris Johnson for 3 yards (tackle by D.J. Williams),0.280,0.140
1,5:28,,,,0,0,Timeout #1 by Denver Broncos,0.000,0.140
1,5:28,2,7,TEN 23,0,0,Chris Johnson right tackle for 5 yards (tackle by Kevin Vickerson),0.140,0.100
1,4:48,3,2,TEN 28,0,0,Vince Young pass complete short middle to Justin Gage for 14 yards (tackle by Renaldo Hill),0.100,1.730
1,4:13,1,10,TEN 42,0,0,Vince Young pass complete short left to Justin Gage for 16 yards (tackle by Perrish Cox),1.730,2.790
1,3:43,1,10,DEN 42,0,0,Chris Johnson right guard for 1 yard (tackle by Jason Hunter and Ronald Fields),2.790,2.380
1,3:04,2,9,DEN 41,0,0,Chris Johnson left end for 6 yards (tackle by Perrish Cox and Ronald Fields),2.380,2.480
1,2:23,3,3,DEN 35,0,0,Vince Young pass complete short left to Nate Washington for 6 yards (tackle by Nate Jones),2.480,3.640
1,1:47,1,10,DEN 29,0,0,"Chris Johnson left tackle for no gain (tackle by Mario Haggan). Chris Johnson fumbles (forced by Mario Haggan), recovered by Ryan McBean at DEN-26 and returned for 1 yards (tackle by Jake Scott)",3.640,-0.740
,,,,,,,"TEN challenged the fumble ruling, and the play was upheld.",,
1,1:39,1,10,DEN 27,0,0,Laurence Maroney middle for no gain (tackle by Stephen Tulloch and Jason Babin),0.740,0.200
1,1:06,2,10,DEN 27,0,0,Kyle Orton pass complete short middle to Eddie Royal for 4 yards (tackle by Stephen Tulloch),0.200,0.040
1,0:27,3,6,DEN 31,0,0,Kyle Orton sacked by Jason Babin for -9 yards,0.040,-1.900
Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,15,DEN 22,0,0,"Britton Colquitt punts 39 yards, fair catch by Marc Mariani",-1.900,-1.530
2,14:52,1,10,TEN 39,0,0,Vince Young pass incomplete short right intended for Ahmard Hall,1.530,0.990
2,14:47,2,10,TEN 39,0,0,Chris Johnson left tackle for 3 yards (tackle by Jason Hunter),0.990,0.700
2,14:04,3,7,TEN 42,0,0,Vince Young pass incomplete deep left intended for Kenny Britt (defended by Perrish Cox),0.700,-0.590
2,13:59,4,7,TEN 42,0,0,"Brett Kern punts 38 yards, returned by Eddie Royal for 12 yards (tackle by Patrick Bailey)",-0.590,-1.070
2,13:47,1,10,DEN 32,0,0,Kyle Orton pass complete deep middle to Brandon Lloyd for 23 yards (tackle by Alterraun Verner),1.070,2.590
2,13:14,1,10,TEN 45,0,0,Kyle Orton pass complete short left to Correll Buckhalter for 9 yards (tackle by Alterraun Verner),2.590,3.260
2,12:31,2,1,TEN 36,0,0,Kyle Orton pass incomplete short right intended for Brandon Lloyd,3.260,2.540
2,12:28,3,1,TEN 36,0,0,"Kyle Orton pass incomplete short middle intended for Eddie Royal. Penalty on Sen'Derrick Marks: Roughing the Passer, 14 yards, Penalty on Sen'Derrick Marks: Defensive Offside (Declined) (no play)",2.540,4.110
2,12:24,1,10,TEN 22,0,0,Kyle Orton pass complete short left to Eddie Royal for 17 yards (tackle by Alterraun Verner),4.110,6.060
2,11:47,1,5,TEN 5,0,0,"Penalty on Jason Babin: Neutral Zone Infraction, 3 yards (no play)",6.060,6.740
2,11:28,1,2,TEN 2,6,0,"Kyle Orton pass complete short right to Eddie Royal for 2 yards, touchdown",6.740,7.000
2,,,,TEN 2,7,0,Matt Prater kicks extra point good,0.000,0.000
2,,,,DEN 30,7,0,"Matt Prater kicks off 57 yards, returned by Marc Mariani for 16 yards (tackle by Dan Gronkowski)",0.000,0.870
2,11:19,1,10,TEN 29,7,0,Javon Ringer left end for 54 yards (tackle by Renaldo Hill),0.870,4.440
2,10:37,1,10,DEN 17,7,0,Chris Johnson left tackle for 2 yards (tackle by Kevin Vickerson and Mario Haggan),4.440,4.150
2,10:03,2,8,DEN 15,7,0,Vince Young pass complete short middle to Kenny Britt for 7 yards (tackle by Perrish Cox and D.J. Williams),4.150,4.800
2,9:24,3,1,DEN 8,7,6,"Vince Young pass complete short left to Kenny Britt for 8 yards, touchdown",4.800,7.000
2,,,,DEN 2,7,7,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,7,7,"Rob Bironas kicks off 67 yards, returned by Demaryius Thomas for 36 yards (tackle by Rob Bironas)",0.000,1.530
2,9:11,1,10,DEN 39,7,7,Laurence Maroney right tackle for 8 yards (tackle by Alterraun Verner),1.530,2.070
2,8:41,2,2,DEN 47,7,7,Laurence Maroney middle for -1 yards (tackle by Chris Hope),2.070,1.220
2,8:04,3,3,DEN 46,7,7,Kyle Orton pass incomplete short left intended for Laurence Maroney,1.220,-0.320
2,7:59,4,3,DEN 46,7,7,"Britton Colquitt punts 36 yards, fair catch by Marc Mariani",-0.320,-0.040
2,7:52,1,10,TEN 18,7,7,Vince Young pass complete short right to Nate Washington for 19 yards (tackle by D.J. Williams),0.040,1.400
2,7:27,1,10,TEN 37,7,7,"Vince Young pass incomplete deep right intended for Nate Washington. Penalty on Champ Bailey: Defensive Pass Interfere, 29 yards (no play)",1.400,3.310
2,7:21,1,10,DEN 34,7,7,"Chris Johnson right tackle for 1 yard (tackle by Mario Haggan). Penalty on Craig Stevens: Offensive Holding, 10 yards",3.310,2.720
2,6:53,1,19,DEN 43,7,7,Vince Young pass complete short left to Chris Johnson for 6 yards (tackle by Robert Ayers and Kevin Vickerson),2.720,2.370
2,6:17,2,13,DEN 37,7,7,Vince Young pass complete short middle to Bo Scaife for 2 yards (tackle by Kevin Vickerson and Justin Bannan),2.370,1.950
2,5:37,3,11,DEN 35,7,7,Vince Young sacked by D.J. Williams for -1 yards,1.950,0.880
2,5:00,4,12,DEN 36,7,7,"Brett Kern punts 36 yards, touchback",0.880,-0.280
2,4:51,1,10,DEN 20,7,7,Kyle Orton pass complete short left to Laurence Maroney for 9 yards (tackle by Michael Griffin),0.280,0.950
2,4:28,2,1,DEN 29,7,7,Kyle Orton pass incomplete short left intended for Brandon Lloyd (defended by Will Witherspoon),0.950,0.230
2,4:21,3,1,DEN 29,7,7,Kyle Orton middle for 2 yards (tackle by Chris Hope),0.230,1.000
2,3:57,1,10,DEN 31,7,7,Kyle Orton pass complete short left to Daniel Graham for 1 yard (tackle by Michael Griffin),1.000,0.600
