Quarter,Time,Tm,Detail,DEN,TEN
2.0,11:24,Broncos,Eddie Royal 2 yard pass from Kyle Orton (Matt Prater kick),7,0
,9:18,Titans,Kenny Britt 8 yard pass from Vince Young (Rob Bironas kick),7,7
,0:23,Broncos,Matt Prater 36 yard field goal,10,7
,0:00,Titans,Rob Bironas 55 yard field goal,10,10
3.0,10:30,Broncos,Matt Prater 36 yard field goal,13,10
,10:19,Titans,Marc Mariani 98 yard kickoff return (Rob Bironas kick),13,17
,8:12,Broncos,Matt Prater 35 yard field goal,16,17
,5:00,Titans,Rob Bironas 46 yard field goal,16,20
4.0,1:33,Broncos,Correll Buckhalter 6 yard pass from Kyle Orton (Matt Prater kick),23,20
,0:28,Broncos,Matt Prater 36 yard field goal,26,20
