Unnamed: 0,DEN,TEN
First Downs,22,13
Rush-Yds-TDs,20-19-0,22-121-0
Cmp-Att-Yd-TD-INT,35-50-341-2-1,17-28-173-1-0
Sacked-Yards,6-33,2-6
Net Pass Yards,308,167
Total Yards,327,288
Fumbles-Lost,1-0,2-2
Turnovers,1,2
Penalties-Yards,6-74,10-111
Third Down Conv.,3-15,3-12
Fourth Down Conv.,1-2,0-0
Time of Possession,35:18,24:42
