Quarter,Time,Tm,Detail,NYG,GNB
1.0,7:53,Packers,Jordy Nelson 80 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,1:47,Packers,James Jones 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,11:40,Giants,Hakeem Nicks 36 yard pass from Eli Manning (Lawrence Tynes kick),7,14
,5:13,Giants,Mario Manningham 85 yard pass from Eli Manning (Lawrence Tynes kick),14,14
,1:54,Packers,John Kuhn 8 yard rush (Mason Crosby kick),14,21
3.0,9:56,Packers,Mason Crosby 31 yard field goal,14,24
,7:10,Giants,Lawrence Tynes 38 yard field goal,17,24
,4:44,Packers,Donald Lee 1 yard pass from Aaron Rodgers (Mason Crosby kick),17,31
4.0,6:58,Packers,John Kuhn 5 yard pass from Aaron Rodgers (Mason Crosby kick),17,38
,4:20,Packers,John Kuhn 1 yard rush (Mason Crosby kick),17,45
