Unnamed: 0,NYG,GNB
First Downs,16,27
Rush-Yds-TDs,21-90-0,35-119-2
Cmp-Att-Yd-TD-INT,17-33-301-2-4,25-37-404-4-0
Sacked-Yards,1-5,2-8
Net Pass Yards,296,396
Total Yards,386,515
Fumbles-Lost,2-2,2-1
Turnovers,6,1
Penalties-Yards,5-45,3-31
Third Down Conv.,4-12,6-13
Fourth Down Conv.,1-1,0-0
Time of Possession,22:59,37:01
