Unnamed: 0,NOR,CAR
First Downs,15,21
Rush-Yds-TDs,37-164-2,13-46-0
Cmp-Att-Yd-TD-INT,14-24-216-1-0,24-50-307-2-0
Sacked-Yards,3-20,6-33
Net Pass Yards,196,274
Total Yards,360,320
Fumbles-Lost,1-0,3-3
Turnovers,0,3
Penalties-Yards,8-87,6-45
Third Down Conv.,5-16,2-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:32,26:28
