Unnamed: 0,OAK,SDG
First Downs,22,19
Rush-Yds-TDs,25-67-3,25-65-1
Cmp-Att-Yd-TD-INT,26-41-328-0-0,22-41-239-0-3
Sacked-Yards,1-2,2-13
Net Pass Yards,326,226
Total Yards,393,291
Fumbles-Lost,1-0,0-0
Turnovers,0,3
Penalties-Yards,8-57,8-46
Third Down Conv.,9-17,5-14
Fourth Down Conv.,0-0,0-2
Time of Possession,31:04,28:56
