Unnamed: 0,TEN,OAK
First Downs,22,19
Rush-Yds-TDs,29-114-0,23-93-0
Cmp-Att-Yd-TD-INT,30-42-320-2-0,19-32-260-1-1
Sacked-Yards,2-8,0-0
Net Pass Yards,312,260
Total Yards,426,353
Fumbles-Lost,3-0,2-1
Turnovers,0,2
Penalties-Yards,10-100,4-50
Third Down Conv.,10-18,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,35:48,24:12
