Quarter,Time,Tm,Detail,STL,SFO
1,9:35,Rams,Josh Brown 42 yard field goal,3,0
,3:10,49ers,Frank Gore 1 yard rush (Joe Nedney kick),3,7
2,12:04,49ers,Joe Nedney 26 yard field goal,3,10
,9:08,Rams,Danny Amendola 5 yard pass from Sam Bradford (Josh Brown kick),10,10
3,2:48,Rams,Steven Jackson 13 yard rush (Josh Brown kick),17,10
4,9:02,49ers,Joe Nedney 47 yard field goal,17,13
,2:10,49ers,Michael Crabtree 16 yard pass from Troy Smith (Joe Nedney kick),17,20
,0:00,Rams,Josh Brown 33 yard field goal,20,20
OT,9:39,49ers,Joe Nedney 29 yard field goal,20,23
