Unnamed: 0,STL,SFO
First Downs,22,19
Rush-Yds-TDs,24-104-1,26-98-1
Cmp-Att-Yd-TD-INT,30-42-251-1-0,17-28-356-1-0
Sacked-Yards,3-23,5-33
Net Pass Yards,228,323
Total Yards,332,421
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,12-135,14-105
Third Down Conv.,2-14,0-11
Fourth Down Conv.,0-0,1-1
Time of Possession,35:03,30:18
