Unnamed: 0,KAN,DEN
First Downs,22,30
Rush-Yds-TDs,35-317-3,22-84-2
Cmp-Att-Yd-TD-INT,13-25-207-0-2,32-56-431-1-3
Sacked-Yards,0-0,2-3
Net Pass Yards,207,428
Total Yards,524,512
Fumbles-Lost,1-0,0-0
Turnovers,2,3
Penalties-Yards,5-76,5-54
Third Down Conv.,3-10,7-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:57,33:03
