Quarter,Time,Tm,Detail,KAN,DEN
1.0,11:17,Chiefs,Mike Cox 1 yard rush (Ryan Succop kick),7,0
2.0,14:07,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),7,7
,5:03,Chiefs,Ryan Succop 20 yard field goal,10,7
,0:27,Broncos,Matt Prater 25 yard field goal,10,10
3.0,10:35,Chiefs,Jamaal Charles 5 yard rush (Ryan Succop kick),17,10
,8:25,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),17,17
,5:39,Chiefs,Ryan Succop 36 yard field goal,20,17
,5:16,Chiefs,Derrick Johnson 45 yard interception return (Ryan Succop kick),27,17
,0:12,Broncos,Brandon Stokley 3 yard pass from Kyle Orton (Matt Prater kick),27,24
4.0,12:57,Chiefs,Ryan Succop 47 yard field goal,30,24
,9:52,Chiefs,Derrick Johnson 60 yard interception return (Ryan Succop kick),37,24
,6:25,Chiefs,Jamaal Charles 56 yard rush (Ryan Succop kick),44,24
