Unnamed: 0,BUF,IND
First Downs,10,26
Rush-Yds-TDs,31-111-0,29-148-1
Cmp-Att-Yd-TD-INT,8-12-83-0-0,27-39-236-1-0
Sacked-Yards,4-32,0-0
Net Pass Yards,51,236
Total Yards,162,384
Fumbles-Lost,2-0,2-2
Turnovers,0,2
Penalties-Yards,5-40,6-54
Third Down Conv.,5-14,3-8
Fourth Down Conv.,1-1,0-0
Time of Possession,26:12,33:48
