#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BUF 35,14,8:08,61,Field Goal
2,1,5:05,BUF 2,6,3:43,4,Punt
3,2,11:09,BUF 28,3,1:36,2,Punt
4,2,2:44,BUF 31,3,1:01,8,Punt
5,3,10:30,IND 12,4,1:43,0,Field Goal
6,3,5:52,BUF 23,7,3:09,34,Punt
7,4,15:00,BUF 39,9,4:25,36,Field Goal
8,4,8:49,IND 41,5,2:27,18,Missed FG
