Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
1,6:54,4,4,IND 4,3,0,Rian Lindell 22 yard field goal good. Penalty on IND: Defensive 12 On-field (Declined),3.030,3.000
1,,,,BUF 30,3,0,"Rian Lindell kicks off 66 yards, returned by Terrence Wilkins for 31 yards (tackle by Jim Leonhard)",0.000,1.270
1,6:46,1,10,IND 35,3,0,Peyton Manning pass complete short left to Dominic Rhodes for 5 yards,1.270,1.400
1,6:09,2,5,IND 40,3,0,Dominic Rhodes left end for 1 yard (tackle by Kyle Williams and Takeo Spikes),1.400,0.830
1,5:24,3,4,IND 41,3,0,Peyton Manning pass incomplete short right intended for Marvin Harrison,0.830,-0.650
1,5:16,4,4,IND 41,3,0,Hunter Smith punts 57 yards,-0.650,0.380
1,5:05,1,10,BUF 2,3,0,Anthony Thomas middle for 3 yards (tackle by Anthony McFarland and Cato June),-0.380,-0.560
1,4:27,2,7,BUF 5,3,0,Anthony Thomas middle for 2 yards (tackle by Josh Thomas and Anthony McFarland),-0.560,-0.840
1,3:51,3,5,BUF 7,3,0,Anthony Thomas middle for 7 yards (tackle by Robert Mathis),-0.840,-0.280
1,3:10,1,10,BUF 14,3,0,J.P. Losman sacked by Robert Mathis for -8 yards,-0.280,-1.360
1,2:37,2,18,BUF 6,3,0,Anthony Thomas middle for 2 yards (tackle by Cato June),-1.360,-2.120
1,1:59,3,16,BUF 8,3,0,Anthony Thomas left tackle for 3 yards (tackle by Antoine Bethea). Penalty on Lee Evans: Illegal Block Above the (Declined),-2.120,-2.490
1,1:59,4,13,BUF 11,3,0,"Penalty on Mike Schneck: False Start, 5 yards (no play)",-2.490,-2.490
1,1:30,4,18,BUF 6,3,0,"Brian Moorman punts 52 yards, returned by Terrence Wilkins for no gain",-2.490,-1.730
1,1:22,1,10,IND 42,3,0,"Peyton Manning pass complete short middle to Dominic Rhodes for 12 yards (tackle by Angelo Crowell and Takeo Spikes). Penalty on Ben Utecht: Illegal Formation, 5 yards (no play)",1.730,1.400
1,1:03,1,15,IND 37,3,0,Dominic Rhodes left tackle for 10 yards,1.400,1.860
1,0:27,2,5,IND 47,3,0,Peyton Manning pass complete short middle to Ben Utecht for 11 yards,1.860,2.790
Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 42,3,0,Peyton Manning pass complete deep middle to Dallas Clark for 23 yards (tackle by Kiwaukee Thomas),2.790,4.310
2,14:27,1,10,BUF 19,3,0,Joseph Addai middle for 3 yards (tackle by Ryan Denney and Kiwaukee Thomas),4.310,4.180
2,13:45,2,7,BUF 16,3,0,Peyton Manning pass complete short right to Joseph Addai for 6 yards (tackle by Angelo Crowell),4.180,4.690
2,13:02,3,1,BUF 10,3,0,Joseph Addai middle for 5 yards (tackle by Donte Whitner),4.690,6.060
2,13:02,1,5,BUF 5,3,0,"Penalty on Jake Scott: False Start, 5 yards (no play)",6.060,4.910
2,12:04,1,10,BUF 10,3,0,Peyton Manning pass incomplete short middle intended for Dallas Clark (defended by Kiwaukee Thomas),4.910,4.190
2,12:00,2,10,BUF 10,3,0,Peyton Manning pass complete short middle to Joseph Addai for 9 yards (tackle by Angelo Crowell),4.190,5.170
2,11:14,3,1,BUF 1,3,6,"Peyton Manning pass complete short left to Reggie Wayne for 1 yard, touchdown",5.170,7.000
2,,,,BUF 2,3,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,3,7,"Adam Vinatieri kicks off 68 yards, returned by Terrence McGee for 24 yards (tackle by Freddy Keiaho). Terrence McGee fumbles (forced by Freddy Keiaho), recovered by Jim Leonhard at BUF-28",0.000,0.810
2,11:01,1,10,BUF 28,3,7,Anthony Thomas middle for 2 yards (tackle by Josh Thomas),0.810,0.530
2,10:28,2,8,BUF 30,3,7,J.P. Losman sacked by Anthony McFarland for -6 yards,0.530,-0.960
2,9:58,3,14,BUF 24,3,7,Anthony Thomas middle for 6 yards (tackle by Cato June),-0.960,-1.370
2,9:43,4,8,BUF 30,3,7,Brian Moorman punts 61 yards,-1.370,0.380
2,9:33,1,10,IND 9,3,7,Dominic Rhodes middle for 9 yards (tackle by Takeo Spikes and Ko Simpson),-0.380,0.140
2,8:55,2,1,IND 18,3,7,Dominic Rhodes left end for 2 yards (tackle by Terrence McGee and Chris Kelsay),0.140,0.280
2,8:20,1,10,IND 20,3,7,Peyton Manning pass complete short left to Ben Utecht for 6 yards (tackle by Terrence McGee),0.280,0.540
2,7:34,2,4,IND 26,3,7,Dominic Rhodes left tackle for 6 yards (tackle by Angelo Crowell and Jason Jefferson),0.540,1.070
2,6:57,1,10,IND 32,3,7,Peyton Manning pass complete short middle to Ben Utecht for 8 yards (tackle by Takeo Spikes),1.070,1.610
2,6:08,2,2,IND 40,3,7,Dominic Rhodes right tackle for 8 yards,1.610,2.130
2,5:30,1,10,IND 48,3,7,Dominic Rhodes middle for no gain (tackle by Aaron Schobel and Takeo Spikes),2.130,1.580
2,4:56,2,10,IND 48,3,7,Peyton Manning pass complete short left to Reggie Wayne for 15 yards (tackle by Terrence McGee),1.580,3.120
2,4:12,1,10,BUF 37,3,7,Joseph Addai left tackle for 16 yards (tackle by Ko Simpson),3.120,4.170
2,3:35,1,10,BUF 21,3,7,Peyton Manning pass incomplete short middle intended for Dallas Clark (defended by Angelo Crowell),4.170,3.630
2,3:32,2,10,BUF 21,3,7,Peyton Manning pass incomplete short left intended for Joseph Addai,3.630,2.940
2,3:27,3,10,BUF 21,3,7,Peyton Manning pass complete short middle to Ben Utecht for 8 yards (tackle by Kiwaukee Thomas),2.940,2.690
2,2:48,4,2,BUF 13,3,10,Adam Vinatieri 31 yard field goal good,2.690,3.000
2,,,,IND 30,3,10,"Adam Vinatieri kicks off 67 yards, returned by Terrence McGee for 10 yards, lateral to Jim Leonhard for 18 yards (tackle by Freddy Keiaho)",0.000,1.000
2,2:34,1,10,BUF 31,3,10,Anthony Thomas middle for -1 yards (tackle by Nick Harper),1.000,0.320
2,2:00,2,11,BUF 30,3,10,J.P. Losman pass incomplete intended for Peerless Price,0.320,-0.360
2,1:57,3,11,BUF 30,3,10,Anthony Thomas middle for 9 yards (tackle by Cato June),-0.360,-0.780
2,1:50,,,,3,10,Timeout #1 by Indianapolis Colts,0.000,-0.780
2,1:50,4,2,BUF 39,3,10,"Brian Moorman punts 52 yards, fair catch by Terrence Wilkins",-0.780,0.380
2,1:43,1,10,IND 9,3,10,Peyton Manning pass complete short right to Marvin Harrison for 11 yards (tackle by Nate Clements),-0.380,0.280
2,1:39,1,10,IND 20,3,10,Peyton Manning pass complete short left to Bryan Fletcher for 13 yards (tackle by Angelo Crowell),0.280,1.140
2,1:22,1,10,IND 33,3,10,Peyton Manning pass complete short right to Joseph Addai for 13 yards,1.140,1.990
2,1:13,1,10,IND 46,3,10,Peyton Manning pass complete short middle to Joseph Addai for 4 yards,1.990,1.990
2,0:53,2,6,IND 50,3,10,Peyton Manning pass complete short left to Reggie Wayne for 7 yards (tackle by Terrence McGee),1.990,2.720
2,0:46,,,,3,10,Timeout #2 by Indianapolis Colts,0.000,2.720
2,0:46,1,10,BUF 43,9,10,"Peyton Manning pass complete short left to Ben Utecht for 9 yards (tackle by Angelo Crowell). Ben Utecht fumbles (forced by Angelo Crowell), recovered by Terrence McGee at BUF-32 and returned for 68 yards, touchdown",2.720,-7.000
2,,,,IND 2,10,10,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,10,10,"Rian Lindell kicks off 65 yards, returned by Terrence Wilkins for 23 yards (tackle by Jim Leonhard)",0.000,0.810
2,0:26,1,10,IND 28,10,10,Peyton Manning pass incomplete short middle intended for Dominic Rhodes,0.810,0.260
2,0:23,2,10,IND 28,10,10,Dominic Rhodes left tackle for 5 yards (tackle by Angelo Crowell),0.260,0.230
Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,10,10,"Rian Lindell kicks off 54 yards, returned by Terrence Wilkins for 10 yards (tackle by Coy Wire)",0.000,0.670
3,14:54,1,10,IND 26,10,10,Peyton Manning pass complete short left to Dominic Rhodes for 8 yards (tackle by Angelo Crowell),0.670,1.210
3,14:13,2,2,IND 34,10,10,Dominic Rhodes middle for 5 yards (tackle by Larry Tripplett and Kyle Williams),1.210,1.530
3,13:34,1,10,IND 39,10,10,Peyton Manning pass complete short right to Ben Utecht for 11 yards (tackle by Nate Clements),1.530,2.260
3,13:00,1,10,IND 50,10,10,--,2.260,2.930
3,12:29,2,1,BUF 41,10,10,Peyton Manning pass complete short right to Marvin Harrison for 10 yards,2.930,3.510
3,11:49,1,10,BUF 31,10,10,Peyton Manning pass incomplete short left intended for Marvin Harrison,3.510,2.970
3,11:43,2,10,BUF 31,10,10,Dominic Rhodes right tackle for 7 yards (tackle by Nate Clements),2.970,3.200
3,10:57,3,3,BUF 24,10,10,Peyton Manning pass complete deep left to Reggie Wayne for 19 yards (tackle by Terrence McGee),3.200,6.060
3,10:35,1,5,BUF 5,10,16,"Joseph Addai middle for 5 yards, touchdown",6.060,7.000
3,,,,BUF 2,10,17,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,IND 30,10,17,"Adam Vinatieri kicks off 70 yards, returned by Terrence McGee for 88 yards (tackle by Antoine Bethea)",0.000,4.780
3,10:15,1,10,IND 12,10,17,Anthony Thomas middle for 2 yards (tackle by Rob Morris and Marlin Jackson),4.780,4.450
3,9:35,2,8,IND 10,10,17,J.P. Losman pass complete short right to Peerless Price for -2 yards (tackle by Nick Harper),4.450,3.120
3,8:55,3,10,IND 12,10,17,J.P. Losman pass incomplete intended for Robert Royal,3.120,2.630
3,8:50,4,10,IND 12,13,17,Rian Lindell 30 yard field goal good,2.630,3.000
3,,,,BUF 30,13,17,"Rian Lindell kicks off 60 yards, returned by Terrence Wilkins for 19 yards (tackle by Anthony Hargrove)",0.000,0.870
3,8:42,1,10,IND 29,13,17,Peyton Manning pass complete short right to Dallas Clark for 2 yards (tackle by Takeo Spikes and Donte Whitner),0.870,0.600
3,8:06,2,8,IND 31,13,17,Peyton Manning pass complete short middle to Joseph Addai for 9 yards (tackle by Takeo Spikes and Angelo Crowell),0.600,1.600
3,7:18,1,10,IND 40,13,17,"Joseph Addai middle for 4 yards. Penalty on Dallas Clark: Illegal Crackback, 15 yards",1.600,0.870
3,6:46,1,21,IND 29,13,17,Joseph Addai middle for 6 yards (tackle by Ko Simpson),0.870,0.380
3,6:12,2,15,IND 35,13,17,Peyton Manning pass incomplete short right intended for Marvin Harrison,0.380,-0.300
3,6:08,3,15,IND 35,13,17,Peyton Manning pass incomplete deep right intended for Marvin Harrison,-0.300,-1.040
3,6:03,4,15,IND 35,13,17,"Hunter Smith punts 48 yards, returned by Roscoe Parrish for 6 yards (tackle by T.J. Rushing)",-1.040,-0.480
3,5:52,1,10,BUF 23,13,17,"J.P. Losman pass complete short right to Peerless Price for no gain. Penalty on Gilbert Gardner: Roughing the Passer, 15 yards (no play)",0.480,1.470
3,5:46,1,10,BUF 38,13,17,Anthony Thomas middle for 3 yards (tackle by Antoine Bethea),1.470,1.330
3,5:16,2,7,BUF 41,13,17,J.P. Losman pass complete short middle to Peerless Price for 6 yards (tackle by Nick Harper),1.330,1.420
3,4:43,3,1,BUF 47,13,17,J.P. Losman pass incomplete short right intended for Peerless Price,1.420,-0.260
3,4:39,4,1,BUF 47,13,17,Brian Moorman for 2 yards (tackle by Dexter Reid),-0.260,2.190
3,4:19,1,10,BUF 49,13,17,Anthony Thomas middle for 6 yards (tackle by Jason David),2.190,2.460
3,3:48,2,4,IND 45,13,17,J.P. Losman pass incomplete deep left intended for Lee Evans,2.460,1.750
3,3:41,3,4,IND 45,13,17,Anthony Thomas middle for 2 yards (tackle by Rob Morris and Cato June),1.750,0.400
3,2:50,4,2,IND 43,13,17,"Brian Moorman punts 32 yards, fair catch by Terrence Wilkins",0.400,0.370
3,2:43,1,10,IND 11,13,17,Dominic Rhodes middle for 3 yards (tackle by Tim Anderson),-0.370,-0.530
3,2:11,2,7,IND 14,13,17,Peyton Manning pass incomplete short right intended for Marvin Harrison,-0.530,-1.070
3,2:07,3,7,IND 14,13,17,Peyton Manning pass incomplete short right intended for Ben Utecht (defended by Angelo Crowell),-1.070,-2.470
3,2:03,4,7,IND 14,13,17,"Hunter Smith punts 47 yards, fair catch by Roscoe Parrish. Penalty on Kevin Everett: Roughing the Kicker, 15 yards (no play)",-2.470,0.870
3,1:55,1,10,IND 29,13,17,"Penalty on Marvin Harrison: False Start, 5 yards (no play)",0.870,0.540
3,1:55,1,15,IND 24,13,17,Peyton Manning pass complete short right to Joseph Addai for 3 yards (tackle by Angelo Crowell),0.540,0.060
3,1:25,2,12,IND 27,13,17,Peyton Manning pass complete short right to Ben Utecht for 13 yards (tackle by Angelo Crowell and Nate Clements),0.060,1.600
3,0:53,1,10,IND 40,13,17,Joseph Addai middle for no gain (tackle by Ryan Denney),1.600,1.050
3,0:09,2,10,IND 40,13,17,Peyton Manning pass incomplete short right intended for Ben Utecht (defended by Nate Clements),1.050,0.370
3,0:05,3,10,IND 40,13,17,Peyton Manning pass incomplete short middle intended for Bryan Fletcher,0.370,-0.720
3,0:01,4,10,IND 40,13,17,"Penalty on Jabari Greer: Defensive Delay of Game, 5 yards (no play)",-0.720,-0.390
3,0:01,4,5,IND 45,13,17,"Hunter Smith punts 37 yards, returned by Roscoe Parrish for 21 yards (tackle by Freddy Keiaho)",-0.390,-1.530
Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 39,13,17,J.P. Losman pass complete short middle to Peerless Price for 9 yards (tackle by Rob Morris),1.530,2.200
4,14:26,2,1,BUF 48,13,17,Anthony Thomas middle for 2 yards (tackle by Antoine Bethea),2.200,2.260
4,14:02,1,10,IND 50,13,17,J.P. Losman pass complete short right to Lee Evans for 8 yards (tackle by Antoine Bethea),2.260,2.790
4,13:33,,,,13,17,Timeout #1 by Buffalo Bills,0.000,2.790
4,13:33,2,2,IND 42,13,17,Anthony Thomas left tackle for 1 yard (tackle by Raheem Brock),2.790,2.210
4,12:57,3,1,IND 41,13,17,"Penalty on Kevin Everett: False Start, 5 yards (no play)",2.210,1.550
4,12:38,3,6,IND 46,13,17,J.P. Losman pass complete short right to Lee Evans for 24 yards (tackle by Marlin Jackson),1.550,4.110
4,12:31,1,10,IND 22,13,17,Anthony Thomas left tackle for 1 yard (tackle by Marlin Jackson),4.110,3.700
4,11:54,2,9,IND 21,13,17,J.P. Losman sacked by Robert Mathis for -12 yards,3.700,1.420
4,11:20,,,,13,17,Timeout #2 by Buffalo Bills,0.000,1.420
4,11:20,3,21,IND 33,13,17,Anthony Thomas middle for 8 yards (tackle by Rob Morris and Cato June),1.420,1.800
4,10:40,4,13,IND 25,16,17,Rian Lindell 43 yard field goal good,1.800,3.000
4,,,,BUF 30,16,17,"Rian Lindell kicks off 68 yards, returned by Terrence Wilkins for 33 yards (tackle by John DiGiorgio)",0.000,1.270
4,10:25,1,10,IND 35,16,17,Peyton Manning pass complete short middle to Dominic Rhodes for 7 yards (tackle by Nate Clements),1.270,1.670
4,9:53,2,3,IND 42,16,17,Dominic Rhodes right tackle for 3 yards (tackle by Angelo Crowell and Kyle Williams),1.670,1.930
4,9:08,1,10,IND 45,16,17,"Dominic Rhodes right end for 4 yards (tackle by Nate Clements). Dominic Rhodes fumbles (forced by Nate Clements), recovered by Nate Clements at IND-49 and returned for 8 yards (tackle by Jeff Saturday)",1.930,-2.850
4,8:49,1,10,IND 41,16,17,Anthony Thomas middle for 19 yards (tackle by Marlin Jackson),2.850,4.110
4,8:17,1,10,IND 22,16,17,Anthony Thomas middle for 7 yards (tackle by Raheem Brock),4.110,4.650
4,7:38,2,3,IND 15,16,17,Anthony Thomas left tackle for -2 yards (tackle by Rob Morris and Josh Thomas),4.650,3.560
4,6:57,3,5,IND 17,16,17,J.P. Losman sacked by Dwight Freeney for -6 yards,3.560,1.930
4,6:27,4,11,IND 23,16,17,Rian Lindell 41 yard field goal no good,1.930,-1.000
4,6:22,1,10,IND 31,16,17,--,1.000,1.540
4,5:44,2,2,IND 39,16,17,Peyton Manning pass complete short left to Dallas Clark for 3 yards (tackle by Angelo Crowell),1.540,1.730
4,5:08,1,10,IND 42,16,17,Peyton Manning pass complete short left to Joseph Addai for 2 yards (tackle by Angelo Crowell and Takeo Spikes),1.730,1.460
4,4:18,2,8,IND 44,16,17,Joseph Addai right end for 8 yards (tackle by Donte Whitner),1.460,2.390
4,3:32,1,10,BUF 48,16,17,Joseph Addai right tackle for 2 yards (tackle by Kyle Williams),2.390,2.120
4,2:48,2,8,BUF 46,16,17,Joseph Addai left end for 8 yards (tackle by Anthony Hargrove),2.120,3.050
4,2:33,,,,16,17,Timeout #3 by Buffalo Bills,0.000,3.050
4,2:33,1,10,BUF 38,16,17,--,3.050,3.320
4,2:00,2,4,BUF 32,16,17,Joseph Addai middle for 7 yards (tackle by Chris Kelsay),3.320,3.910
4,1:16,1,10,BUF 25,16,17,Peyton Manning kneels for -1 yards,3.910,3.230
4,0:40,2,11,BUF 26,16,17,Peyton Manning kneels for -1 yards,3.230,2.410
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
