Unnamed: 0,MIA,CIN
First Downs,20,16
Rush-Yds-TDs,31-137-1,26-106-0
Cmp-Att-Yd-TD-INT,24-37-217-0-1,17-38-156-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,217,156
Total Yards,354,262
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,4-42,4-36
Third Down Conv.,5-15,6-16
Fourth Down Conv.,0-0,1-1
Time of Possession,33:29,26:31
