Quarter,Time,Tm,Detail,MIA,CIN
1.0,7:20,Bengals,Terrell Owens 7 yard pass from Carson Palmer (Mike Nugent kick),0,7
,2:16,Dolphins,Dan Carpenter 38 yard field goal,3,7
2.0,8:20,Dolphins,Dan Carpenter 42 yard field goal,6,7
,2:45,Bengals,Terrell Owens 37 yard pass from Carson Palmer (Mike Nugent kick),6,14
,0:54,Dolphins,Dan Carpenter 24 yard field goal,9,14
,0:00,Dolphins,Dan Carpenter 54 yard field goal,12,14
3.0,2:47,Dolphins,Dan Carpenter 31 yard field goal,15,14
4.0,11:15,Dolphins,Ricky Williams 1 yard rush (Dan Carpenter kick),22,14
