Unnamed: 0,MIN,WAS
First Downs,17,18
Rush-Yds-TDs,22-56-0,30-137-0
Cmp-Att-Yd-TD-INT,23-41-262-2-1,15-28-149-2-1
Sacked-Yards,2-17,3-23
Net Pass Yards,245,126
Total Yards,301,263
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,5-42,3-26
Third Down Conv.,7-16,3-10
Fourth Down Conv.,0-0,0-1
Time of Possession,29:13,30:47
