Unnamed: 0,SDG,JAX
First Downs,24,20
Rush-Yds-TDs,26-79-0,19-102-0
Cmp-Att-Yd-TD-INT,29-43-300-4-0,30-49-329-2-1
Sacked-Yards,2-10,2-11
Net Pass Yards,290,318
Total Yards,369,420
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-70,6-35
Third Down Conv.,6-14,5-15
Fourth Down Conv.,1-1,2-3
Time of Possession,31:24,28:36
