Unnamed: 0,DET,CIN
First Downs,15,28
Rush-Yds-TDs,22-87-1,34-142-1
Cmp-Att-Yd-TD-INT,19-35-203-1-1,27-41-238-1-1
Sacked-Yards,2-14,3-16
Net Pass Yards,189,222
Total Yards,276,364
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,9-74,5-60
Third Down Conv.,6-15,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,27:31,32:29
