Quarter,Time,Tm,Detail,DET,CIN
1.0,4:54,Lions,Eric Ebron 33 yard pass from Matthew Stafford (Matt Prater kick),7,0
2.0,7:35,Bengals,Randy Bullock 29 yard field goal,7,3
,0:00,Bengals,Randy Bullock 27 yard field goal,7,6
3.0,9:26,Lions,Matt Prater 23 yard field goal,10,6
,5:52,Bengals,C.J. Uzomah 1 yard pass from Andy Dalton (Randy Bullock kick),10,13
4.0,14:13,Bengals,Randy Bullock 35 yard field goal,10,16
,9:49,Lions,Tion Green 5 yard rush (Matt Prater kick),17,16
,4:42,Bengals,Randy Bullock 51 yard field goal,17,19
,1:54,Bengals,Giovani Bernard 12 yard rush (Randy Bullock kick),17,26
