Unnamed: 0,NWE,BUF
First Downs,23,25
Rush-Yds-TDs,23-72-1,26-167-3
Cmp-Att-Yd-TD-INT,22-33-315-4-0,20-40-218-0-0
Sacked-Yards,5-30,2-9
Net Pass Yards,285,209
Total Yards,357,376
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,10-116,12-84
Third Down Conv.,9-13,4-13
Fourth Down Conv.,0-0,2-4
Time of Possession,29:51,30:09
