Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,BUF 25,0,0,Tyrod Taylor pass complete short right to Charles Clay for 2 yards (tackle by Dont'a Hightower),0.610,0.330
1,14:29,2,8,BUF 27,0,0,Mike Gillislee left tackle for 28 yards (tackle by Patrick Chung),0.330,2.590
1,14:00,1,10,NWE 45,0,0,Mike Gillislee middle for 3 yards (tackle by Dont'a Hightower),2.590,2.450
1,13:25,2,7,NWE 42,0,0,Tyrod Taylor pass incomplete short left intended for Justin Hunter,2.450,1.750
1,13:18,3,7,NWE 42,0,0,Brandon Tate right end for 14 yards (tackle by Logan Ryan),1.750,3.710
1,12:44,1,10,NWE 28,0,0,Tyrod Taylor pass complete short right to Jerome Felton for 22 yards (tackle by Rob Ninkovich and Elandon Roberts),3.710,5.830
1,12:00,1,6,NWE 6,0,0,Tyrod Taylor pass incomplete,5.830,5.830
1,11:51,1,6,NWE 6,0,0,Timeout #1 by Buffalo Bills,5.830,4.950
1,11:51,2,6,NWE 6,0,0,Tyrod Taylor middle for 1 yard (tackle by Chris Long),4.950,4.260
1,11:15,3,5,NWE 5,0,0,Tyrod Taylor pass incomplete short left intended for Reggie Bush,4.260,3.010
1,11:07,4,5,NWE 5,0,3,Dan Carpenter 23 yard field goal good,3.010,3.000
1,11:07,,,BUF 35,0,3,"Dan Carpenter kicks off 55 yards, returned by Matt Slater for 15 yards (tackle by Walt Powell). Matt Slater fumbles, recovered by Shea McClellin at NWE-30 (tackle by Robert Blanton)",0.000,-0.940
1,10:57,1,10,NWE 30,0,3,Tom Brady pass incomplete short right intended for Martellus Bennett,0.940,0.390
1,10:50,2,10,NWE 30,0,3,"Penalty on BUF: Defensive 12 On-field, 5 yards (no play)",0.390,1.070
1,10:50,2,5,NWE 35,0,3,Tom Brady pass complete short right to Julian Edelman for 8 yards (tackle by Robert Blanton),1.070,1.800
1,10:20,1,10,NWE 43,0,3,LeGarrette Blount middle for -1 yards (tackle by Marcell Dareus),1.800,1.120
1,9:44,2,11,NWE 42,0,3,Tom Brady pass complete short left to Martellus Bennett for 5 yards (tackle by Zach Brown),1.120,1.090
1,9:23,3,6,NWE 47,0,3,Tom Brady pass complete short left to James White for 8 yards (tackle by Zach Brown),1.090,2.590
1,8:50,1,10,BUF 45,0,3,Tom Brady pass incomplete deep left intended for Rob Gronkowski,2.590,2.040
1,8:44,2,10,BUF 45,0,3,Julian Edelman left end for no gain (tackle by Zach Brown),2.040,1.360
1,8:06,3,10,BUF 45,0,3,Tom Brady pass complete short left to Chris Hogan for 16 yards (tackle by Stephon Gilmore),1.360,3.640
1,7:30,1,10,BUF 29,0,3,LeGarrette Blount middle for 1 yard (tackle by Corey Graham),3.640,3.240
1,6:56,2,9,BUF 28,0,3,LeGarrette Blount middle for 7 yards (tackle by Preston Brown and Robert Blanton),3.240,3.470
1,6:13,3,2,BUF 21,0,3,Tom Brady pass complete short left to Julian Edelman for 10 yards (tackle by Zach Brown),3.470,4.840
1,5:42,1,10,BUF 11,0,3,LeGarrette Blount right end for 4 yards (tackle by Robert Blanton),4.840,4.890
1,5:21,2,6,BUF 7,0,3,Tom Brady pass complete short right to Rob Gronkowski for -2 yards (tackle by Ronald Darby),4.890,3.530
1,4:41,3,8,BUF 9,6,3,"Tom Brady pass complete short right to Danny Amendola for 9 yards, touchdown",3.530,7.000
