Unnamed: 0,PHI,MIN
First Downs,15,16
Rush-Yds-TDs,23-67-0,34-148-2
Cmp-Att-Yd-TD-INT,23-34-300-1-1,15-35-164-0-1
Sacked-Yards,3-17,1-11
Net Pass Yards,283,153
Total Yards,350,301
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,7-55,4-25
Third Down Conv.,5-14,8-18
Fourth Down Conv.,0-0,0-0
Time of Possession,27:54,32:06
