Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 72 yards, returned by Quintin Demps for 13 yards (tackle by Eric Frampton)",0.000,-0.370
1,14:55,1,10,PHI 11,0,0,Donovan McNabb pass incomplete short middle intended for DeSean Jackson,-0.370,-0.780
1,14:52,2,10,PHI 11,0,0,Brian Westbrook up the middle for -2 yards (tackle by Ben Leber),-0.780,-1.650
1,14:12,3,12,PHI 9,0,0,Donovan McNabb pass complete short middle to Kevin Curtis for 15 yards (tackle by Antoine Winfield),-1.650,0.540
1,13:28,1,10,PHI 24,0,0,Brian Westbrook left guard for 2 yards (tackle by Chad Greenway),0.540,0.270
1,12:46,2,8,PHI 26,0,0,Donovan McNabb pass incomplete deep right intended for Greg Lewis,0.270,-0.430
1,12:39,3,8,PHI 26,0,0,Donovan McNabb pass complete short right to Brent Celek for 7 yards (tackle by Chad Greenway),-0.430,-1.180
1,12:26,4,1,PHI 33,0,0,"Saverio Rocca punts 58 yards, returned by Bernard Berrian for 1 yard (tackle by Akeem Jordan)",-1.180,0.380
1,12:13,1,10,MIN 10,0,0,Tarvaris Jackson pass incomplete short middle intended for Bernard Berrian,-0.380,-0.780
1,12:08,2,10,MIN 10,0,0,Adrian Peterson left end for -1 yards (tackle by Chris Gocong and Sheldon Brown),-0.780,-1.540
1,11:26,3,11,MIN 9,0,0,Chester Taylor right tackle for 11 yards (tackle by Brian Dawkins),-1.540,0.280
1,10:38,1,10,MIN 20,0,0,Adrian Peterson up the middle for -1 yards (tackle by Trent Cole),0.280,-0.460
1,9:59,2,11,MIN 19,0,0,Tarvaris Jackson pass complete short left to Chester Taylor for 9 yards (tackle by Akeem Jordan),-0.460,0.100
1,9:13,3,2,MIN 28,0,0,Chester Taylor up the middle for 1 yard (tackle by Trent Cole and Akeem Jordan),0.100,-1.440
1,8:43,4,1,MIN 29,0,0,"Chris Kluwe punts 60 yards, returned by DeSean Jackson for 62 yards (tackle by David Herron)",-1.440,-3.780
1,8:22,1,10,MIN 27,0,0,Brian Westbrook up the middle for 2 yards (tackle by Fred Evans),3.780,3.500
1,7:39,2,8,MIN 25,0,0,Donovan McNabb sacked by Jared Allen for -1 yards,3.500,2.680
1,6:57,3,9,MIN 26,0,0,Donovan McNabb pass incomplete short right intended for Jason Avant. Penalty on Jamaal Jackson: Offensive Holding (Declined),2.680,1.740
1,6:49,4,9,MIN 26,3,0,David Akers 43 yard field goal good,1.740,3.000
1,,,,PHI 30,3,0,"David Akers kicks off 69 yards, returned by Maurice Hicks for 21 yards (tackle by Chris Gocong)",0.000,0.410
1,6:38,1,10,MIN 22,3,0,Adrian Peterson left tackle for 2 yards (tackle by Mike Patterson and Trent Cole),0.410,0.140
1,6:03,2,8,MIN 24,3,0,Chester Taylor left guard for 5 yards (tackle by Trent Cole and Sheldon Brown),0.140,0.100
1,5:26,3,3,MIN 29,3,0,Tarvaris Jackson pass complete short middle to Bernard Berrian for 9 yards (tackle by Brian Dawkins),0.100,1.470
1,4:49,1,10,MIN 38,3,0,Tarvaris Jackson pass incomplete short right intended for Visanthe Shiancoe (defended by Quintin Mikell),1.470,0.920
1,4:44,2,10,MIN 38,3,0,Chester Taylor up the middle for 7 yards (tackle by Stewart Bradley and Brian Dawkins),0.920,1.160
1,3:56,3,3,MIN 45,3,0,Tarvaris Jackson pass complete short right to Bobby Wade for 11 yards (tackle by Asante Samuel),1.160,2.650
1,3:20,1,10,PHI 44,3,0,Adrian Peterson left tackle for 2 yards (tackle by Mike Patterson),2.650,2.380
1,2:49,2,8,PHI 42,3,0,Tarvaris Jackson pass incomplete short right intended for Adrian Peterson,2.380,1.690
1,2:45,3,8,PHI 42,3,0,Tarvaris Jackson pass incomplete short right intended for Sidney Rice,1.690,0.460
1,2:41,4,8,PHI 42,3,0,Chris Kluwe punts 17 yards,0.460,-0.610
1,2:36,1,10,PHI 25,3,0,Donovan McNabb pass complete short right to Hank Baskett for 7 yards (tackle by Antoine Winfield),0.610,1.010
1,1:55,2,3,PHI 32,3,0,Correll Buckhalter right end for 27 yards (tackle by Ben Leber),1.010,2.850
1,1:30,1,10,MIN 41,3,0,Correll Buckhalter right guard for no gain (tackle by Kevin Williams and Brian Robison),2.850,2.310
1,0:49,2,10,MIN 41,3,0,Donovan McNabb pass complete short right to Reggie Brown for 8 yards (tackle by Antoine Winfield),2.310,2.680
1,0:06,,,,3,0,Timeout #1 by Minnesota Vikings,0.000,2.680
1,0:06,3,2,MIN 33,3,0,Donovan McNabb pass incomplete short right intended for Brian Westbrook,2.680,1.200
1,0:02,4,2,MIN 33,6,0,David Akers 51 yard field goal good,1.200,3.000
Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,PHI 30,6,0,"David Akers kicks off 71 yards, returned by Maurice Hicks for 23 yards (tackle by Sean Considine)",0.000,0.410
2,14:55,1,10,MIN 22,6,0,"Adrian Peterson up the middle for no gain (tackle by Trent Cole). Penalty on Trevor Laws: Defensive Offside, 5 yards (no play)",0.410,1.140
2,14:34,1,5,MIN 27,6,0,Tarvaris Jackson pass incomplete short right intended for Jim Kleinsasser,1.140,0.540
2,14:27,2,5,MIN 27,6,0,Chester Taylor left tackle for -1 yards (tackle by Chris Gocong),0.540,-0.290
