Quarter,Time,Tm,Detail,HOU,DET
2.0,6:56,Lions,Cory Schlesinger 1 yard pass from Joey Harrington (Jason Hanson kick),0,7
,1:06,Texans,Kris Brown 34 yard field goal,3,7
3.0,6:38,Lions,Roy Williams 31 yard pass from Joey Harrington (Jason Hanson kick),3,14
,2:31,Texans,Andre Johnson 54 yard pass from David Carr (Kris Brown kick),10,14
,2:16,Lions,Eddie Drummond 99 yard kickoff return (Jason Hanson kick),10,21
4.0,12:20,Texans,Corey Bradford 27 yard pass from David Carr (pass failed),16,21
,4:41,Lions,Roy Williams 14 yard pass from Joey Harrington (Jason Hanson kick),16,28
