#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,SFO 27,4,1:55,24,Fumble
2,1,11:57,SFO 25,3,0:56,0,Interception
3,1,10:42,SFO 25,9,4:24,59,Interception
4,1,4:40,SFO 30,5,2:29,58,Field Goal
5,2,13:39,SFO 6,3,1:02,6,Interception
6,2,12:37,SFO 25,3,1:27,9,Punt
7,2,6:00,SFO 25,8,3:53,75,Touchdown
8,3,12:19,SFO 25,8,3:56,75,Touchdown
9,3,2:58,SFO 25,4,2:33,-12,Punt
10,4,11:44,SFO 25,9,4:50,75,Touchdown
11,4,2:37,LAR 49,2,0:17,49,Touchdown
12,4,0:28,SFO 17,1,0:28,-2,End of Game
