Unnamed: 0,SFO,LAR
First Downs,22,28
Rush-Yds-TDs,22-127-1,42-155-1
Cmp-Att-Yd-TD-INT,23-33-282-3-3,17-29-222-4-0
Sacked-Yards,3-18,0-0
Net Pass Yards,264,222
Total Yards,391,377
Fumbles-Lost,1-1,2-0
Turnovers,4,0
Penalties-Yards,5-41,6-57
Third Down Conv.,3-11,10-16
Fourth Down Conv.,1-1,0-1
Time of Possession,28:10,31:50
