Unnamed: 0,NOR,GNB
First Downs,25,16
Rush-Yds-TDs,36-161-2,24-181-2
Cmp-Att-Yd-TD-INT,27-38-331-1-2,12-25-87-0-1
Sacked-Yards,1-7,1-8
Net Pass Yards,324,79
Total Yards,485,260
Fumbles-Lost,1-0,2-0
Turnovers,2,1
Penalties-Yards,7-80,8-54
Third Down Conv.,8-15,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,36:56,23:04
