Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Connor Barth kicks off 70 yards, returned by Eric Weems for 31 yards (tackle by Alterraun Verner)",0.000,-0.670
1,14:54,1,10,ATL 26,0,0,Matt Ryan pass complete short left to Julio Jones for 9 yards (tackle by Chris Conte and Johnthan Banks),0.670,1.350
1,14:17,2,1,ATL 35,0,0,Matt Ryan pass incomplete short right intended for Julio Jones,1.350,0.630
1,14:12,3,1,ATL 35,0,0,"Penalty on Andy Levitre: False Start, 5 yards (no play)",0.630,-0.030
1,14:12,3,6,ATL 30,0,0,Matt Ryan pass complete short right to Jacob Tamme for 7 yards (tackle by Alterraun Verner),-0.030,1.400
1,13:35,1,10,ATL 37,0,0,Matt Ryan pass complete short right to Julio Jones for 17 yards (tackle by Bradley McDougald and Chris Conte),1.400,2.520
1,13:02,1,10,TAM 46,0,0,Devonta Freeman for 2 yards (tackle by Chris Conte),2.520,2.250
1,12:29,2,8,TAM 44,0,0,Matt Ryan pass complete deep right to Julio Jones for 21 yards (tackle by Mike Jenkins),2.250,2.250
1,11:54,2,8,TAM 44,0,0,Timeout #1 by Atlanta Falcons,2.250,4.040
1,11:54,1,10,TAM 23,0,0,Matt Ryan pass complete short middle to Jacob Tamme for 6 yards (tackle by Danny Lansanah and Kwon Alexander),4.040,4.380
1,11:19,2,4,TAM 17,0,0,Devonta Freeman left tackle for 2 yards (tackle by William Gholston),4.380,4.050
1,10:38,3,2,TAM 15,0,0,Devonta Freeman left guard for 1 yard (tackle by Kwon Alexander and William Gholston),4.050,2.660
1,10:08,4,1,TAM 14,0,0,"Matt Ryan right guard for 2 yards (tackle by William Gholston). Penalty on Chris Conte: Unnecessary Roughness, 6 yards",2.660,5.830
1,9:42,1,6,TAM 6,0,0,Devonta Freeman left end for no gain (tackle by William Gholston),5.830,4.950
1,9:02,2,6,TAM 6,0,0,"Matt Ryan pass incomplete short right intended for Julio Jones is intercepted by Kwon Alexander at TAM--4 and returned for 93 yards. Penalty on Jacquies Smith: Defensive Offside, 3 yards (no play)",4.950,5.530
1,8:44,2,3,TAM 3,0,0,Devonta Freeman left guard for no gain (tackle by Bruce Carter),5.530,4.720
1,8:04,3,3,TAM 3,0,0,Matt Ryan pass incomplete short middle intended for Roddy White,4.720,3.040
1,7:58,4,3,TAM 3,0,3,Matt Bryant 21 yard field goal good,3.040,3.000
1,7:58,,,ATL 35,0,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
1,7:54,1,10,TAM 20,0,3,Doug Martin left guard for 2 yards (tackle by Paul Soliai and Ra'Shede Hageman),0.280,0.000
1,7:15,2,8,TAM 22,0,3,Doug Martin left tackle for 4 yards (tackle by Paul Soliai),0.000,-0.160
1,6:34,3,4,TAM 26,0,3,"Jameis Winston pass incomplete short right intended for Charles Sims. Penalty on Vic Beasley: Defensive Offside, 5 yards (no play)",-0.160,1.000
1,6:27,1,10,TAM 31,0,3,Doug Martin right end for 18 yards (tackle by Ricardo Allen),1.000,2.190
1,5:47,1,10,TAM 49,0,3,Doug Martin left guard for 5 yards (tackle by Brooks Reed),2.190,2.320
1,5:07,2,5,ATL 46,0,3,Doug Martin left end for 3 yards (tackle by Ra'Shede Hageman),2.320,2.010
1,4:27,3,2,ATL 43,0,3,Doug Martin left guard for -5 yards (tackle by Adrian Clayborn),2.010,0.070
1,3:50,4,7,ATL 48,0,3,"Jake Schum punts 36 yards, fair catch by Eric Weems",0.070,0.350
1,3:42,1,10,ATL 12,0,3,"Devonta Freeman left end for 6 yards (tackle by Chris Conte). Penalty on Julio Jones: Offensive Holding, 6 yards (no play)",-0.350,-0.610
1,3:18,1,16,ATL 6,0,3,"Matt Ryan pass complete short middle to Julio Jones for 35 yards (tackle by Kwon Alexander). Julio Jones fumbles (forced by Kwon Alexander), recovered by Kwon Alexander at ATL-41 and returned for 20 yards (tackle by Devonta Freeman)",-0.610,-4.170
1,3:01,1,10,ATL 21,0,3,Doug Martin right end for 1 yard (tackle by Paul Worrilow),4.170,3.760
1,2:16,2,9,ATL 20,0,3,Jameis Winston pass incomplete deep right intended for Mike Evans,3.760,3.070
1,2:12,3,9,ATL 20,0,3,Jameis Winston pass incomplete deep left intended for Adam Humphries,3.070,2.120
1,2:08,4,9,ATL 20,3,3,Connor Barth 38 yard field goal good,2.120,3.000
1,2:08,,,TAM 35,3,3,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,2:03,1,10,ATL 20,3,3,Matt Ryan pass complete short middle to Julio Jones for 17 yards (tackle by Chris Conte),0.280,1.400
1,1:23,1,10,ATL 37,3,3,Devonta Freeman left tackle for 6 yards (tackle by Akeem Spence and William Gholston),1.400,1.670
1,0:49,2,4,ATL 43,3,3,Devonta Freeman right end for -4 yards (tackle by Mike Jenkins). Penalty on Jacob Tamme: Offensive Holding (Declined),1.670,0.430
1,0:23,3,8,ATL 39,3,3,Matt Ryan pass complete short left to Justin Hardy for 12 yards (tackle by Alterraun Verner),0.430,2.320
Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 49,3,3,Tevin Coleman right end for 7 yards (tackle by Bradley McDougald),2.320,2.730
2,14:22,2,3,TAM 42,3,3,Tevin Coleman right end for 2 yards (tackle by Henry Melton),2.730,2.280
2,13:35,3,1,TAM 40,3,3,"Penalty on Henry Melton: Neutral Zone Infraction, 5 yards (no play)",2.280,3.250
2,13:14,1,10,TAM 35,3,3,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by Kwon Alexander),3.250,3.380
2,12:31,2,5,TAM 30,3,3,Devonta Freeman left end for 7 yards (tackle by Chris Conte),3.380,4.040
2,11:51,1,10,TAM 23,3,3,Devonta Freeman right tackle for 3 yards (tackle by Henry Melton),4.040,3.900
2,11:15,2,7,TAM 20,3,3,Devonta Freeman right end for no gain (tackle by George Johnson),3.900,3.200
2,10:36,3,7,TAM 20,3,3,Matt Ryan pass complete short right to Jacob Tamme for 14 yards (tackle by Jude Adjei-Barimah),3.200,5.830
2,9:50,1,6,TAM 6,3,3,Devonta Freeman left guard for 2 yards (tackle by Danny Lansanah),5.830,5.340
2,9:10,2,4,TAM 4,3,3,"Matt Ryan for no gain. Michael Person fumbles, recovered by Jacquies Smith at TAM-13 and returned for 9 yards (tackle by Ryan Schraeder)",5.340,-0.410
2,9:04,1,10,TAM 22,3,3,Jameis Winston pass complete short right to Mike Evans for 13 yards (tackle by Ricardo Allen),0.410,1.270
2,8:46,1,10,TAM 35,3,3,Charles Sims right end for 1 yard (tackle by Grady Jarrett),1.270,0.860
2,8:07,2,9,TAM 36,3,3,Jameis Winston pass complete short middle to Charles Sims for 13 yards (tackle by Robenson Therezie and Vic Beasley),0.860,2.190
2,7:18,1,10,TAM 49,3,3,Jameis Winston pass complete deep left to Cameron Brate for 28 yards (tackle by Paul Soliai),2.190,4.040
2,6:27,1,10,ATL 23,3,3,Charles Sims right guard for 7 yards (tackle by Robert Alford and Justin Durant),4.040,4.560
2,5:48,2,3,ATL 16,3,3,Charles Sims right tackle for 4 yards (tackle by Desmond Trufant),4.560,4.780
2,5:01,1,10,ATL 12,3,3,Doug Martin left tackle for -2 yards (tackle by Grady Jarrett),4.780,3.790
2,4:41,2,12,ATL 14,3,3,Jameis Winston pass incomplete short middle intended for Mike Evans,3.790,3.060
2,4:35,3,12,ATL 14,3,3,Jameis Winston pass complete short left to Brandon Myers for 9 yards (tackle by Justin Durant),3.060,3.020
2,3:36,4,3,ATL 5,6,3,Connor Barth 23 yard field goal good,3.020,3.000
2,3:36,,,TAM 35,6,3,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
2,3:32,1,10,ATL 20,6,3,Devonta Freeman right guard for 20 yards (tackle by Chris Conte),0.280,1.600
2,2:57,1,10,ATL 40,6,3,"Matt Ryan pass incomplete short right intended for Roddy White. Penalty on Henry Melton: Defensive Offside, 5 yards (no play)",1.600,2.330
2,2:40,1,5,ATL 45,6,3,Devonta Freeman left guard for 6 yards (tackle by Johnthan Banks),2.330,2.320
2,2:18,1,10,TAM 49,6,3,"Matt Ryan pass complete short right to Devonta Freeman for 9 yards (tackle by Bruce Carter). Penalty on Levine Toilolo: Offensive Pass Interference, 10 yards (no play)",2.320,1.660
2,2:00,1,20,ATL 41,6,3,"Matt Ryan pass complete short left to Tevin Coleman for 6 yards (tackle by Johnthan Banks). Penalty on Johnthan Banks: Defensive Offside, 5 yards (no play)",1.660,1.990
2,1:54,1,15,ATL 46,6,3,Matt Ryan pass complete short left to Tevin Coleman for 10 yards (tackle by Johnthan Banks),1.990,2.460
2,1:33,2,5,TAM 44,6,3,Matt Ryan pass incomplete short right intended for Jacob Tamme (defended by Alterraun Verner),2.460,1.750
2,1:31,3,5,TAM 44,6,3,Matt Ryan pass incomplete short middle intended for Jacob Tamme is intercepted by Kwon Alexander at TAM-35 and returned for 15 yards,1.750,-2.260
2,1:23,1,10,,6,3,Charles Sims right end for 7 yards (tackle by Robert Alford),2.260,2.660
2,1:17,2,3,ATL 43,6,3,Jameis Winston pass complete short right to Brandon Myers for 6 yards (tackle by Robenson Therezie),2.660,3.120
2,0:53,1,10,ATL 37,6,3,Jameis Winston pass incomplete short left intended for Adam Humphries,3.120,2.570
2,0:50,2,10,ATL 37,6,3,Jameis Winston sacked by O'Brien Schofield for -4 yards,2.570,2.570
2,0:43,2,10,ATL 37,6,3,Timeout #2 by Atlanta Falcons,2.570,1.360
2,0:43,3,14,ATL 41,6,3,Jameis Winston pass complete deep right to Mike Evans for 21 yards (tackle by Desmond Trufant and Justin Durant),1.360,1.360
2,0:35,3,14,ATL 41,6,3,Timeout #1 by Tampa Bay Buccaneers,1.360,4.240
2,0:35,1,10,ATL 20,12,3,"Jameis Winston pass complete deep middle to Cameron Brate for 20 yards, touchdown",4.240,7.000
2,0:35,,,ATL 20,13,3,Connor Barth kicks extra point good,0.000,0.000
2,0:35,,,TAM 35,13,3,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
2,0:30,1,10,ATL 20,13,3,Matt Ryan pass complete short left to Julio Jones for 8 yards (tackle by Kwon Alexander and Chris Conte),0.280,0.810
Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,13,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,TAM 20,13,3,Doug Martin left end for 1 yard (tackle by Robert Alford),0.280,-0.130
3,14:23,2,9,TAM 21,13,3,Jameis Winston pass incomplete short right intended for Donteea Dye,-0.130,-0.820
3,14:18,3,9,TAM 21,13,3,Jameis Winston pass incomplete short right intended for Donteea Dye,-0.820,-1.960
3,14:11,4,9,TAM 21,13,3,"Jake Schum punts 53 yards, returned by Eric Weems for 24 yards (tackle by Jorvorskie Lane)",-1.960,-2.260
3,13:57,1,10,,13,3,Devonta Freeman left end for no gain (tackle by Danny Lansanah),2.260,1.710
3,13:21,2,10,,13,3,Matt Ryan pass complete short middle to Levine Toilolo for 7 yards (tackle by Lavonte David),1.710,1.950
3,12:39,3,3,TAM 43,13,3,Matt Ryan pass complete short left to Devonta Freeman for 6 yards (tackle by Johnthan Banks),1.950,3.120
3,12:12,1,10,TAM 37,13,3,Devonta Freeman left tackle for 7 yards (tackle by Bradley McDougald),3.120,3.520
3,11:30,2,3,TAM 30,13,3,Tevin Coleman left tackle for 2 yards (tackle by Akeem Spence),3.520,3.070
3,10:49,3,1,TAM 28,13,3,Matt Ryan pass complete short right to Jacob Tamme for 8 yards (tackle by Lavonte David),3.070,4.240
3,10:08,1,10,TAM 20,13,3,"Matt Ryan for no gain. Matt Ryan fumbles, recovered by Henry Melton at TAM-24 (tackle by Chris Chester)",4.240,-0.540
3,10:02,1,10,TAM 24,13,3,Doug Martin left guard for 9 yards (tackle by Tyson Jackson),0.540,1.210
3,9:23,2,1,TAM 33,13,3,"Doug Martin right end for 19 yards (tackle by Ricardo Allen). Penalty on Gosder Cherilus: Offensive Holding, 9 yards (no play)",1.210,0.000
3,8:50,2,10,TAM 24,13,3,Jameis Winston pass complete short right to Donteea Dye for 4 yards,0.000,-0.160
3,8:23,3,6,TAM 28,13,3,"Jameis Winston pass incomplete short right intended for Mike Evans. Penalty on Desmond Trufant: Defensive Pass Interference, 8 yards (no play)",-0.160,1.330
3,8:19,1,10,TAM 36,13,3,"Jameis Winston pass incomplete deep right intended for Mike Evans (defended by Ricardo Allen). Penalty on Desmond Trufant: Defensive Pass Interference, 39 yards (no play)",1.330,3.910
3,8:10,1,10,ATL 25,13,3,Doug Martin right guard for 2 yards (tackle by Ra'Shede Hageman),3.910,3.630
3,7:31,2,8,ATL 23,13,3,Jameis Winston left guard for 21 yards (tackle by Ricardo Allen),3.630,3.630
3,6:53,2,8,ATL 23,13,3,Timeout #1 by Atlanta Falcons,3.630,6.740
3,6:53,1,2,ATL 2,13,3,Doug Martin left guard for -2 yards (tackle by Robert Alford),6.740,5.340
3,6:14,2,4,ATL 4,13,3,Jameis Winston pass incomplete short left intended for Mike Evans,5.340,4.490
