Unnamed: 0,TAM,ATL
First Downs,21,28
Rush-Yds-TDs,32-117-1,27-101-0
Cmp-Att-Yd-TD-INT,16-29-177-1-0,37-45-397-2-1
Sacked-Yards,2-4,1-2
Net Pass Yards,173,395
Total Yards,290,496
Fumbles-Lost,0-0,4-3
Turnovers,0,4
Penalties-Yards,8-43,11-124
Third Down Conv.,6-13,6-12
Fourth Down Conv.,0-1,2-3
Time of Possession,30:11,39:05
