Quarter,Time,Tm,Detail,TAM,ATL
1,7:54,Falcons,Matt Bryant 21 yard field goal,0,3
,2:03,Buccaneers,Connor Barth 38 yard field goal,3,3
2,3:32,Buccaneers,Connor Barth 23 yard field goal,6,3
,0:30,Buccaneers,Cameron Brate 20 yard pass from Jameis Winston (Connor Barth kick),13,3
3,6:06,Buccaneers,Jameis Winston 4 yard rush (Connor Barth kick),20,3
,0:15,Falcons,Jacob Tamme 7 yard pass from Matt Ryan (Matt Bryant kick),20,10
4,4:56,Falcons,Matt Bryant 24 yard field goal,20,13
,0:17,Falcons,Julio Jones 8 yard pass from Matt Ryan (Matt Bryant kick),20,20
OT,7:52,Buccaneers,Connor Barth 31 yard field goal,23,20
