Unnamed: 0,CAR,DAL
First Downs,15,24
Rush-Yds-TDs,16-73-0,32-212-1
Cmp-Att-Yd-TD-INT,22-33-220-1-2,22-33-255-0-0
Sacked-Yards,3-22,2-18
Net Pass Yards,198,237
Total Yards,271,449
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,6-60,9-80
Third Down Conv.,1-8,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,22:56,37:04
