Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Rhys Lloyd kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Tony Romo pass complete short left to Felix Jones for 20 yards,0.280,1.600
1,14:28,1,10,DAL 40,0,0,Felix Jones middle for 4 yards (tackle by Quinton Teal),1.600,1.590
1,13:51,2,6,DAL 44,0,0,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Jon Beason),1.590,2.390
1,13:21,1,10,CAR 48,0,0,Felix Jones left end for 18 yards (tackle by Tyler Brayton),2.390,3.580
1,12:45,1,10,CAR 30,0,0,Tony Romo pass incomplete deep right intended for Patrick Crayton (defended by Chris Gamble),3.580,3.030
1,12:39,2,10,CAR 30,0,0,Tony Romo pass complete short right to Jason Witten for no gain,3.030,2.340
1,11:51,3,10,CAR 30,0,0,Tony Romo pass complete deep left to Roy Williams for 17 yards (tackle by Captain Munnerlyn),2.340,4.710
1,11:10,1,10,CAR 13,0,0,Felix Jones left tackle for 1 yard (tackle by Jon Beason),4.710,4.220
1,10:31,2,9,CAR 12,0,0,Tony Romo sacked by Thomas Davis for -10 yards,4.220,2.280
1,9:50,3,19,CAR 22,0,0,Tony Romo pass incomplete short right intended for Tashard Choice,2.280,1.990
1,9:45,4,19,CAR 22,0,0,Nick Folk 40 yard field goal no good,1.990,-0.940
1,9:41,1,10,CAR 30,0,0,Jake Delhomme pass complete short right to Steve Smith for 9 yards (tackle by Ken Hamlin),0.940,1.610
1,9:06,2,1,CAR 39,0,0,DeAngelo Williams left tackle for 5 yards (tackle by Igor Olshansky),1.610,1.860
1,8:31,1,10,CAR 44,0,0,"Jake Delhomme pass complete short left to Steve Smith for 1 yard (tackle by Terence Newman). Steve Smith fumbles (forced by Terence Newman), recovered by Steve Smith at CAR-45",1.860,1.590
1,8:05,2,8,CAR 46,0,0,Jake Delhomme pass complete short right to Muhsin Muhammad for 10 yards (tackle by Terence Newman),1.590,2.650
1,7:37,1,10,DAL 44,0,0,"Penalty on Jeff Otah: False Start, 5 yards (no play)",2.650,2.320
1,7:16,1,15,DAL 49,0,0,Jonathan Stewart middle for -4 yards (tackle by Keith Brooking and DeMarcus Ware),2.320,0.900
1,6:39,2,19,CAR 47,0,0,Jake Delhomme pass incomplete short right intended for Tony Fiammetta (defended by Anthony Spencer),0.900,0.230
1,6:33,3,19,CAR 47,0,0,Jake Delhomme pass complete short right to Steve Smith for 12 yards (tackle by Terence Newman and Bradie James),0.230,0.530
1,6:05,4,7,DAL 41,0,0,"Jason Baker punts 34 yards, fair catch by Patrick Crayton",0.530,0.380
1,5:57,1,10,DAL 7,0,0,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Nick Hayden),-0.380,0.040
1,5:13,1,10,DAL 18,0,0,Felix Jones right tackle for 16 yards (tackle by Quinton Teal),0.040,1.200
1,4:27,1,10,DAL 34,0,0,Tony Romo sacked by Jon Beason for -8 yards,1.200,-0.420
1,3:47,2,18,DAL 26,0,0,Felix Jones middle for 7 yards (tackle by Richard Marshall),-0.420,-0.160
1,3:10,3,11,DAL 33,0,0,Tony Romo pass incomplete short right intended for Roy Williams (defended by Charles Johnson),-0.160,-1.180
1,3:05,4,11,DAL 33,0,0,"Mat McBriar punts 52 yards, returned by Captain Munnerlyn for 2 yards (tackle by Sam Hurd)",-1.180,0.060
1,2:53,1,10,CAR 17,0,0,Jake Delhomme pass complete short middle to Jeff King for 12 yards (tackle by Bradie James),-0.060,0.870
1,2:16,1,10,CAR 29,0,0,DeAngelo Williams right end for -3 yards (tackle by Jay Ratliff),0.870,-0.080
1,1:32,2,13,CAR 26,0,0,DeAngelo Williams left tackle for 8 yards (tackle by DeMarcus Ware),-0.080,0.300
1,0:48,3,5,CAR 34,0,0,Jake Delhomme pass incomplete,0.300,-1.110
1,0:42,4,5,CAR 34,0,0,"Jason Baker punts 54 yards, returned by Patrick Crayton for 9 yards (tackle by Thomas Davis). Penalty on Marvin White: Offensive Holding, 10 yards",-1.110,0.370
1,0:29,1,10,DAL 11,0,0,Tashard Choice left tackle for 2 yards (tackle by Damione Lewis),-0.370,-0.630
Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DAL 13,0,0,"Tony Romo pass complete short middle to Jason Witten for 7 yards (tackle by Charles Godfrey). Penalty on Charles Godfrey: Unnecessary Roughness, 15 yards",-0.630,1.270
2,14:33,1,10,DAL 35,0,0,Tashard Choice right tackle for 2 yards (tackle by Quinton Teal),1.270,0.990
2,13:50,2,8,DAL 37,0,0,Tony Romo middle for 5 yards (tackle by Julius Peppers),0.990,0.960
2,13:00,3,3,DAL 42,0,0,Tony Romo pass complete short right to Patrick Crayton for 18 yards (tackle by Tyler Brayton),0.960,2.920
2,12:29,1,10,CAR 40,0,0,"Felix Jones for 3 yards (tackle by Jon Beason). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",2.920,2.260
2,12:01,1,20,,0,0,Tony Romo pass complete short left to Martellus Bennett for 3 yards (tackle by James Anderson),2.260,1.430
2,11:11,2,17,CAR 47,0,0,Tony Romo pass incomplete short right intended for Miles Austin,1.430,0.760
2,11:06,3,17,CAR 47,0,0,Tony Romo pass complete short left to Jason Witten for 9 yards (tackle by Captain Munnerlyn),0.760,0.720
2,10:41,4,8,CAR 38,0,0,Mat McBriar punts 21 yards,0.720,0.060
2,10:29,1,10,CAR 17,0,0,DeAngelo Williams left tackle for no gain (tackle by Bradie James and Anthony Spencer),-0.060,-0.580
2,9:55,2,10,CAR 17,0,0,DeAngelo Williams right tackle for 14 yards (tackle by Ken Hamlin),-0.580,1.000
2,9:19,1,10,CAR 31,0,0,"Jake Delhomme pass complete short left to Steve Smith for 16 yards (tackle by Mike Jenkins). Penalty on Muhsin Muhammad: Offensive Holding, 10 yards (no play)",1.000,0.340
2,8:53,1,20,CAR 21,0,0,Jake Delhomme pass incomplete deep right intended for Muhsin Muhammad,0.340,-0.890
2,8:48,2,20,CAR 21,0,0,Jonathan Stewart left tackle for 4 yards (tackle by Keith Brooking),-0.890,-1.020
2,8:03,3,16,CAR 25,0,0,DeAngelo Williams right end for 17 yards (tackle by Mike Jenkins),-1.020,1.730
2,7:34,1,10,CAR 42,0,0,Jake Delhomme pass incomplete deep left intended for Muhsin Muhammad is intercepted by Mike Jenkins at DAL-16,1.730,0.140
2,7:26,1,10,DAL 16,0,0,Felix Jones middle for 1 yard (tackle by Jon Beason),-0.140,-0.510
2,6:42,2,9,DAL 17,0,0,Tony Romo pass complete short left to Jason Witten for 8 yards (tackle by James Anderson),-0.510,-0.200
2,5:57,2,9,DAL 17,0,0,Timeout #1 by Dallas Cowboys,-0.510,-0.200
