Unnamed: 0,SEA,ARI
First Downs,21,22
Rush-Yds-TDs,32-135-1,18-30-1
Cmp-Att-Yd-TD-INT,18-29-235-3-0,30-45-258-1-2
Sacked-Yards,3-26,7-54
Net Pass Yards,209,204
Total Yards,344,234
Fumbles-Lost,4-2,2-0
Turnovers,2,2
Penalties-Yards,10-70,3-22
Third Down Conv.,7-12,5-15
Fourth Down Conv.,0-1,1-2
Time of Possession,27:40,32:20
