Quarter,Time,Tm,Detail,SEA,ARI
1.0,7:13,Seahawks,Sidney Rice 31 yard pass from Russell Wilson (Stephen Hauschka kick),7,0
2.0,13:25,Seahawks,Zach Miller 15 yard pass from Russell Wilson (Stephen Hauschka kick),14,0
,4:02,Cardinals,Jay Feely 49 yard field goal,14,3
,3:40,Cardinals,Rashard Mendenhall 3 yard rush (Jay Feely kick),14,10
,0:05,Seahawks,Stephen Hauschka 51 yard field goal,17,10
3.0,11:48,Cardinals,Jay Feely 52 yard field goal,17,13
,7:48,Seahawks,Kellen Davis 1 yard pass from Russell Wilson (Stephen Hauschka kick),24,13
,3:52,Seahawks,Marshawn Lynch 2 yard rush (Stephen Hauschka kick),31,13
4.0,14:41,Cardinals,Jay Feely 22 yard field goal,31,16
,10:21,Seahawks,Stephen Hauschka 42 yard field goal,34,16
,4:34,Cardinals,Jaron Brown 8 yard pass from Carson Palmer (pass failed),34,22
