Unnamed: 0,TEN,SEA
First Downs,19,16
Rush-Yds-TDs,39-133-2,26-140-0
Cmp-Att-Yd-TD-INT,17-28-171-0-1,16-31-192-1-1
Sacked-Yards,0-0,3-23
Net Pass Yards,171,169
Total Yards,304,309
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,9-76,5-40
Third Down Conv.,6-14,4-13
Fourth Down Conv.,2-2,0-1
Time of Possession,32:22,27:38
