Quarter,Time,Tm,Detail,GNB,NOR
1.0,11:00,Saints,Aldrick Rosas 44 yard field goal,0,3
2.0,14:18,Saints,Alvin Kamara 3 yard pass from Jameis Winston (Aldrick Rosas kick),0,10
,1:07,Saints,Juwan Johnson 1 yard pass from Jameis Winston (Aldrick Rosas kick),0,17
,0:00,Packers,Mason Crosby 39 yard field goal,3,17
3.0,3:07,Saints,Chris Hogan 10 yard pass from Jameis Winston (Aldrick Rosas kick),3,24
4.0,14:54,Saints,Juwan Johnson 8 yard pass from Jameis Winston (Aldrick Rosas kick),3,31
,10:46,Saints,Deonte Harty 55 yard pass from Jameis Winston (Aldrick Rosas kick),3,38
