Unnamed: 0,GNB,NOR
First Downs,14,22
Rush-Yds-TDs,15-43-0,39-171-0
Cmp-Att-Yd-TD-INT,20-35-201-0-2,15-21-151-5-0
Sacked-Yards,2-15,0-0
Net Pass Yards,186,151
Total Yards,229,322
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,5-33,6-36
Third Down Conv.,1-10,5-10
Fourth Down Conv.,2-3,2-2
Time of Possession,25:24,34:36
