Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback.",,
1,15:00,1,10,NOR 25,0,0,Alvin Kamara right end for 1 yard (tackle by De'Vondre Campbell),,
1,14:28,2,9,NOR 26,0,0,Jameis Winston pass complete short right to Marquez Callaway for 14 yards (tackle by Jaire Alexander),,
1,13:51,1,10,NOR 40,0,0,Jameis Winston scrambles left end for 11 yards (tackle by Krys Barnes),,
1,13:11,1,10,GNB 49,0,0,Alvin Kamara left tackle for 5 yards (tackle by Preston Smith),,
1,12:34,2,5,GNB 44,0,0,Jameis Winston scrambles up the middle for 15 yards (tackle by Adrian Amos),,
1,11:51,1,10,GNB 29,0,0,Alvin Kamara left end for 3 yards (tackle by Krys Barnes),,
1,11:16,2,7,GNB 26,0,0,Jameis Winston pass incomplete short middle intended for Adam Trautman,,
1,11:11,3,7,GNB 26,0,0,Jameis Winston pass incomplete deep right intended for Marquez Callaway,,
1,11:05,4,7,GNB 26,0,3,Aldrick Rosas 44 yard field goal good,,
1,11:00,,,NOR 35,0,3,"Aldrick Rosas kicks off 65 yards, touchback.",,
1,11:00,1,10,GNB 25,0,3,Aaron Jones up the middle for -1 yards (tackle by Marcus Davenport),,
1,10:18,2,11,GNB 24,0,3,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Kwon Alexander),,
1,9:34,3,7,GNB 28,0,3,Aaron Rodgers pass complete short right to Aaron Jones for 6 yards (tackle by Kwon Alexander and Marshon Lattimore),,
1,8:53,,,,,,Timeout #1 by Green Bay Packers,,
1,8:53,4,1,GNB 34,0,3,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 3 yards (tackle by C.J. Gardner-Johnson),,
1,8:17,1,10,GNB 37,0,3,Aaron Jones left end for 1 yard (tackle by Albert Huggins),,
1,7:34,2,9,GNB 38,0,3,Aaron Rodgers pass incomplete short right intended for Robert Tonyan,,
1,7:28,3,9,GNB 38,0,3,Aaron Rodgers pass incomplete short right,,
1,7:19,4,9,GNB 38,0,3,Corey Bojorquez punts 38 yards downed by Josiah Deguara,,
1,7:09,1,10,NOR 24,0,3,Alvin Kamara right end for 3 yards (tackle by Preston Smith and Kingsley Keke),,
1,6:33,2,7,NOR 27,0,3,Tony Jones up the middle for 6 yards (tackle by Adrian Amos),,
1,5:56,3,1,NOR 33,0,3,Taysom Hill up the middle for 2 yards (tackle by Krys Barnes),,
1,5:17,1,10,NOR 35,0,3,Jameis Winston pass complete short right to Alvin Kamara for 3 yards (tackle by Adrian Amos),,
1,4:47,2,7,NOR 38,0,3,Alvin Kamara right guard for 8 yards (tackle by Jaire Alexander and Adrian Amos),,
1,4:10,1,10,NOR 46,0,3,Jameis Winston pass complete deep left to Deonte Harty for 17 yards,,
1,3:37,1,10,GNB 37,0,3,Jameis Winston pass incomplete short left,,
1,3:27,2,10,GNB 37,0,3,Tony Jones left end for 2 yards (tackle by Tyler Lancaster and Kenny Clark),,
1,2:49,3,8,GNB 35,0,3,Jameis Winston scrambles right end for 10 yards (tackle by Adrian Amos),,
1,1:59,1,10,GNB 25,0,3,Tony Jones up the middle for 5 yards (tackle by Dean Lowry),,
1,1:19,2,5,GNB 20,0,3,Alvin Kamara up the middle for 3 yards (tackle by Tyler Lancaster),,
1,0:40,3,2,GNB 17,0,3,Jameis Winston pass complete short left to Alvin Kamara for 2 yards (tackle by De'Vondre Campbell),,
1,0:04,1,10,GNB 15,0,3,Tony Jones right end for 9 yards (tackle by Krys Barnes),,
Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,GNB 6,0,3,Taysom Hill pass complete short right to Tony Jones for 3 yards (tackle by Jaire Alexander),,
2,14:24,1,3,GNB 3,0,9,"Jameis Winston pass complete short middle to Alvin Kamara for 3 yards, touchdown",,
2,14:18,,,GNB 15,0,10,Aldrick Rosas kicks extra point good,,
2,14:18,,,NOR 35,0,10,"Aldrick Rosas kicks off 65 yards, touchback.",,
2,14:18,1,10,GNB 25,0,10,AJ Dillon up the middle for 6 yards (tackle by Zack Baun),,
2,13:37,2,4,GNB 31,0,10,AJ Dillon right guard for 6 yards (tackle by Marcus Davenport and Demario Davis),,
2,12:54,1,10,GNB 37,0,10,Aaron Rodgers sacked by Marcus Davenport for -11 yards,,
2,12:08,2,21,GNB 26,0,10,Aaron Rodgers pass complete short right to Davante Adams for 7 yards (tackle by Demario Davis),,
2,11:22,3,14,GNB 33,0,10,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,,
2,11:18,4,14,GNB 33,0,10,Corey Bojorquez punts 47 yards out of bounds,,
2,11:07,1,10,NOR 20,0,10,Jameis Winston pass complete short right to Adam Trautman for 8 yards (tackle by Kenny Clark),,
2,10:28,2,2,NOR 28,0,10,Tony Jones left end for 5 yards (tackle by De'Vondre Campbell),,
2,9:56,1,10,NOR 33,0,10,Tony Jones right guard for 9 yards (tackle by Adrian Amos),,
2,9:16,2,1,NOR 42,0,10,Tony Jones up the middle for 3 yards (tackle by Dean Lowry),,
2,8:31,1,10,NOR 45,0,10,Alvin Kamara left end for 11 yards (tackle by Krys Barnes),,
2,7:46,1,10,GNB 44,0,10,Alvin Kamara up the middle for 1 yard (tackle by Za'Darius Smith),,
2,6:57,2,9,GNB 43,0,10,"Penalty on Calvin Throckmorton: False Start, 5 yards (accepted) (no play)",,
2,6:42,2,14,GNB 48,0,10,Alvin Kamara up the middle for 1 yard (tackle by Kenny Clark and Krys Barnes),,
2,5:58,3,13,GNB 47,0,10,Alvin Kamara up the middle for 6 yards (tackle by De'Vondre Campbell),,
2,5:08,,,,,,Timeout #2 by Green Bay Packers,,
2,5:08,4,7,GNB 41,0,10,Jameis Winston pass complete short right to Juwan Johnson for 12 yards (tackle by Jaire Alexander and Darnell Savage),,
2,4:22,1,10,GNB 29,0,10,Alvin Kamara up the middle for 6 yards (tackle by Adrian Amos),,
2,3:50,2,4,GNB 23,0,10,Alvin Kamara left tackle for 14 yards (tackle by Kevin King),,
2,3:09,1,9,GNB 9,0,10,Jameis Winston pass complete short right to Ty Montgomery for 5 yards (tackle by Chandon Sullivan),,
2,2:31,2,4,GNB 4,0,10,Alvin Kamara up the middle for 2 yards (tackle by De'Vondre Campbell and Dean Lowry),,
2,2:00,3,2,GNB 2,0,10,Taysom Hill right guard for -1 yards (tackle by Adrian Amos and Kingsley Keke),,
2,1:14,4,3,GNB 3,0,10,"Penalty on Dean Lowry: Neutral Zone Infraction, 2 yards (accepted) (no play)",,
2,1:14,4,1,GNB 1,0,16,"Jameis Winston pass complete short middle to Juwan Johnson for 1 yard, touchdown",,
2,1:07,,,GNB 15,0,17,Aldrick Rosas kicks extra point good,,
2,1:07,,,NOR 35,0,17,"Aldrick Rosas kicks off 65 yards, touchback.",,
2,1:07,1,10,GNB 25,0,17,Aaron Rodgers pass complete short middle to Allen Lazard for 14 yards (tackle by Paulson Adebo),,
2,0:48,1,10,GNB 39,0,17,Aaron Rodgers pass incomplete short right intended for Allen Lazard,,
2,0:45,2,10,GNB 39,0,17,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 4 yards (tackle by Marshon Lattimore),,
2,0:17,3,6,GNB 43,0,17,"Aaron Rodgers pass incomplete deep right intended for Allen Lazard. Penalty on C.J. Gardner-Johnson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
2,0:17,1,10,GNB 48,0,17,Aaron Rodgers pass complete deep right to Davante Adams for 31 yards (tackle by Marshon Lattimore),,
2,0:07,,,,,,Timeout #3 by Green Bay Packers,,
2,0:07,,,,,,Timeout #1 by New Orleans Saints,,
2,0:07,1,10,NOR 21,0,17,Aaron Rodgers pass incomplete short left intended for Robert Tonyan,,
2,0:04,2,10,NOR 21,3,17,Mason Crosby 39 yard field goal good,,
Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,3,17,"Aldrick Rosas kicks off 65 yards, touchback.",,
3,14:58,1,10,GNB 25,3,17,"Aaron Rodgers pass incomplete short left intended for Davante Adams. Penalty on Paulson Adebo: Defensive Pass Interference, 5 yards (accepted) (no play)",,
