Unnamed: 0,CIN,IND
First Downs,20,27
Rush-Yds-TDs,30-133-1,29-112-0
Cmp-Att-Yd-TD-INT,14-28-176-0-0,29-36-282-4-0
Sacked-Yards,4-31,1-0
Net Pass Yards,145,282
Total Yards,278,394
Fumbles-Lost,5-1,1-1
Turnovers,1,1
Penalties-Yards,2-10,5-35
Third Down Conv.,2-11,5-10
Fourth Down Conv.,1-1,0-1
Time of Possession,26:56,33:04
