Quarter,Time,Down,ToGo,Location,CIN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 65 yards, returned by Glenn Holt for 36 yards (tackle by Gilbert Gardner)",0.000,1.660
1,14:54,1,10,CIN 41,0,0,Rudi Johnson middle for 5 yards (tackle by Anthony McFarland and Robert Mathis),1.660,1.800
1,14:18,2,5,CIN 46,0,0,Carson Palmer pass complete short middle to Rudi Johnson for 6 yards (tackle by Rob Morris),1.800,2.390
1,13:44,1,10,IND 48,0,0,"Rudi Johnson middle for 5 yards (tackle by Gary Brackett). Rudi Johnson fumbles (forced by Gary Brackett), recovered by Chad Johnson at IND-43",2.390,2.520
1,12:56,2,5,IND 43,0,0,Carson Palmer pass incomplete deep left intended for Chad Johnson,2.520,1.820
,,,,,,,"IND challenged the ruling, and the original play was overturned.",,
1,12:51,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,1.820
1,12:51,3,5,IND 43,0,0,"Carson Palmer sacked by Dwight Freeney for -9 yards. Carson Palmer fumbles (forced by Dwight Freeney), recovered by Anthony McFarland at CIN-46 (tackle by Eric Steinbach)",1.820,-2.520
1,12:44,1,10,CIN 46,0,0,Peyton Manning pass complete short middle to Ricky Proehl for 7 yards (tackle by Brian Simmons),2.520,2.920
1,12:05,2,3,CIN 39,0,0,Dominic Rhodes left end for 6 yards (tackle by John Thornton),2.920,3.380
1,11:28,1,10,CIN 33,0,0,"Peyton Manning pass incomplete deep right intended for Marvin Harrison. Penalty on Johnathan Joseph: Illegal Use of Hands, 5 yards (no play)",3.380,3.710
1,11:23,1,10,CIN 28,0,0,Dominic Rhodes right end for no gain (tackle by Kevin Kaesviharn and Johnathan Joseph),3.710,3.170
1,10:42,2,10,CIN 28,0,0,Peyton Manning pass complete short left to Dominic Rhodes for 7 yards (tackle by Kevin Kaesviharn),3.170,3.400
1,10:13,3,3,CIN 21,0,0,Peyton Manning pass complete short middle to Dominic Rhodes for 5 yards (tackle by Landon Johnson),3.400,4.510
1,9:32,1,10,CIN 16,0,0,Joseph Addai left end for 1 yard (tackle by Justin Smith and Brian Simmons),4.510,4.050
1,8:50,2,9,CIN 15,0,0,Peyton Manning pass complete short right to Ben Utecht for 3 yards (tackle by Kevin Kaesviharn),4.050,3.730
1,8:07,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,3.730
1,8:07,3,6,CIN 12,0,0,Peyton Manning pass incomplete short middle intended for Ben Utecht,3.730,2.660
1,8:03,4,6,CIN 12,0,3,Adam Vinatieri 30 yard field goal good,2.660,3.000
1,,,,IND 30,0,3,"Adam Vinatieri kicks off 61 yards, returned by Glenn Holt for 16 yards (tackle by Rocky Boiman)",0.000,0.610
1,7:56,1,10,CIN 25,0,3,Rudi Johnson middle for 4 yards (tackle by Cato June and Rob Morris),0.610,0.600
1,7:21,2,6,CIN 29,0,3,Jeremi Johnson middle for 4 yards (tackle by Gary Brackett and Matt Giordano),0.600,0.430
1,6:34,3,2,CIN 33,0,3,Rudi Johnson middle for 5 yards (tackle by Nick Harper and Rob Morris),0.430,1.470
1,5:51,1,10,CIN 38,0,3,Rudi Johnson left tackle for 2 yards (tackle by Cato June and Josh Thomas),1.470,1.190
1,5:07,2,8,CIN 40,0,3,Carson Palmer pass complete deep right to Chad Johnson for 16 yards (tackle by Nick Harper),1.190,2.650
1,4:25,1,10,IND 44,0,3,Rudi Johnson middle for 4 yards (tackle by Cato June),2.650,2.650
1,3:42,2,6,IND 40,0,3,Rudi Johnson for 21 yards (tackle by Matt Giordano),2.650,4.310
1,3:09,1,10,IND 19,0,3,Carson Palmer pass incomplete short left intended for Chad Johnson (defended by Jason David),4.310,3.750
1,3:03,2,10,IND 19,0,3,Carson Palmer pass complete short left to Chad Johnson for 11 yards (tackle by Jason David),3.750,5.370
1,2:27,1,8,IND 8,0,3,Rudi Johnson right end for no gain (tackle by Raheem Brock and Kelvin Hayden),5.370,4.570
1,1:48,2,8,IND 8,0,3,Rudi Johnson right end for -1 yards (tackle by Cato June),4.570,3.360
1,1:10,3,9,IND 9,0,3,Carson Palmer pass incomplete short middle intended for Chris Henry (defended by Gary Brackett). Penalty on Andrew Whitworth: Offensive Holding (Declined),3.360,2.830
1,1:05,4,9,IND 9,3,3,Shayne Graham 27 yard field goal good,2.830,3.000
1,,,,CIN 30,3,3,"Shayne Graham kicks off 67 yards, returned by Terrence Wilkins for 27 yards (tackle by Kevin Kaesviharn)",0.000,0.940
1,0:54,1,10,IND 30,3,3,Joseph Addai right end for 1 yard (tackle by Justin Smith),0.940,0.530
1,0:34,2,9,IND 31,3,3,Peyton Manning pass complete short right to Ben Utecht for 14 yards (tackle by Johnathan Joseph),0.530,1.930
Quarter,Time,Down,ToGo,Location,CIN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 45,3,3,Peyton Manning pass complete short right to Marvin Harrison for 11 yards (tackle by Johnathan Joseph),1.930,2.650
2,14:40,1,10,CIN 44,3,3,Joseph Addai left end for -2 yards (tackle by John Thornton),2.650,1.840
2,13:59,2,12,CIN 46,3,3,Peyton Manning pass complete short middle to Joseph Addai for 15 yards (tackle by Brian Simmons and Dexter Jackson),1.840,3.510
2,13:15,1,10,CIN 31,3,3,Peyton Manning pass complete short left to Reggie Wayne for 9 yards (tackle by Kevin Kaesviharn),3.510,4.180
2,12:34,2,1,CIN 22,3,3,Joseph Addai for 4 yards (tackle by Brian Simmons),4.180,4.370
2,12:02,1,10,CIN 18,3,3,Peyton Manning pass complete short middle to Joseph Addai for 14 yards (tackle by Landon Johnson and Dexter Jackson),4.370,6.280
2,11:16,1,4,CIN 4,3,3,Joseph Addai right tackle for no gain (tackle by Jonathan Fanene and Brian Simmons),6.280,5.340
2,10:35,2,4,CIN 4,3,3,Peyton Manning pass incomplete short right intended for Joseph Addai,5.340,4.490
2,10:29,3,4,CIN 4,3,9,"Peyton Manning pass complete short middle to Marvin Harrison for 4 yards, touchdown",4.490,7.000
2,,,,CIN 2,3,10,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,3,10,"Adam Vinatieri kicks off 57 yards, returned by Glenn Holt for 15 yards (tackle by Keith O'Neil)",0.000,0.810
2,10:21,1,10,CIN 28,3,10,Chad Johnson right end for 1 yard (tackle by Matt Giordano),0.810,0.400
2,9:52,2,9,CIN 29,3,10,Rudi Johnson middle for 2 yards (tackle by Rob Morris and Cato June),0.400,-0.030
