Quarter,Time,Tm,Detail,CIN,IND
1.0,8:00,Colts,Adam Vinatieri 30 yard field goal,0,3
,1:05,Bengals,Shayne Graham 27 yard field goal,3,3
2.0,10:25,Colts,Marvin Harrison 4 yard pass from Peyton Manning (Adam Vinatieri kick),3,10
,6:49,Bengals,Rudi Johnson 12 yard rush (Shayne Graham kick),10,10
,0:13,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Adam Vinatieri kick),10,17
3.0,9:14,Bengals,Shayne Graham 30 yard field goal,13,17
,6:36,Colts,Marvin Harrison 1 yard pass from Peyton Manning (Adam Vinatieri kick),13,24
,2:16,Colts,Reggie Wayne 18 yard pass from Peyton Manning (Adam Vinatieri kick),13,31
4.0,13:07,Bengals,Shayne Graham 28 yard field goal,16,31
,5:25,Colts,Adam Vinatieri 44 yard field goal,16,34
