Unnamed: 0,NYG,GNB
First Downs,19,25
Rush-Yds-TDs,27-95-1,23-147-0
Cmp-Att-Yd-TD-INT,21-33-330-3-1,26-46-264-2-1
Sacked-Yards,1-5,4-23
Net Pass Yards,325,241
Total Yards,420,388
Fumbles-Lost,0-0,3-3
Turnovers,1,4
Penalties-Yards,3-30,3-20
Third Down Conv.,8-16,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:35,30:25
