Quarter,Time,Down,ToGo,Location,NYG,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,NYG 20,0,0,Ahmad Bradshaw up the middle for 1 yard (tackle by Morgan Burnett and B.J. Raji),0.280,-0.130
1,14:20,2,9,NYG 21,0,0,Ahmad Bradshaw up the middle for 1 yard (tackle by Ryan Pickett),-0.130,0.000
1,13:45,,,,0,0,Timeout #1 by New York Giants,0.000,-0.690
1,13:45,3,8,NYG 22,0,0,Eli Manning pass complete deep right to Mario Manningham for 19 yards (tackle by Charlie Peprah),-0.690,1.660
1,13:07,1,10,NYG 41,0,0,Eli Manning pass complete deep right to Victor Cruz for 17 yards (tackle by Tramon Williams),1.660,2.790
1,12:26,1,10,GNB 42,0,0,Eli Manning pass incomplete deep right intended for Jake Ballard (defended by Desmond Bishop),2.790,2.240
1,12:19,2,10,GNB 42,0,0,Eli Manning pass incomplete short left intended for Jake Ballard,2.240,1.550
1,12:15,3,10,GNB 42,0,0,Eli Manning pass complete short left to Victor Cruz for 11 yards (tackle by Charlie Peprah),1.550,3.510
1,11:36,1,10,GNB 31,0,0,Ahmad Bradshaw left guard for 3 yards (tackle by Desmond Bishop and Brad Jones),3.510,3.370
1,10:55,2,7,GNB 28,0,0,Eli Manning pass complete short right to Travis Beckum for 10 yards (tackle by A.J. Hawk),3.370,4.370
1,10:11,1,10,GNB 18,0,0,Ahmad Bradshaw up the middle for 5 yards (tackle by A.J. Hawk and Clay Matthews),4.370,4.610
1,9:24,2,5,GNB 13,0,0,Ahmad Bradshaw up the middle for no gain (tackle by A.J. Hawk),4.610,3.820
1,8:44,3,5,GNB 13,0,0,Eli Manning pass incomplete short left intended for Jake Ballard,3.820,2.620
1,8:37,4,5,GNB 13,3,0,Lawrence Tynes 31 yard field goal good,2.620,3.000
1,8:33,,,NYG 35,3,0,"Lawrence Tynes kicks off 71 yards, returned by Randall Cobb for 27 yards (tackle by Greg Jones)",0.000,0.340
,,,,,,,"GNB challenged the fumble ruling, and the original play was overturned.",,
1,8:24,1,10,GNB 21,3,0,Ryan Grant right end for 19 yards (tackle by Chase Blackburn),0.340,1.600
1,8:00,1,10,GNB 40,3,0,Aaron Rodgers pass incomplete short left intended for Jermichael Finley (defended by Kenny Phillips),1.600,1.050
1,7:54,2,10,GNB 40,3,0,Aaron Rodgers pass complete short middle to Greg Jennings for 10 yards (tackle by Deon Grant),1.050,2.260
1,7:20,1,10,,3,0,Aaron Rodgers pass complete short right to Jermichael Finley for 19 yards (tackle by Deon Grant),2.260,3.510
1,6:37,1,10,NYG 31,3,0,Aaron Rodgers pass incomplete short left intended for Jermichael Finley,3.510,2.970
1,6:32,2,10,NYG 31,3,0,Aaron Rodgers pass complete short middle to Ryan Grant for 2 yards (tackle by Antrel Rolle),2.970,2.540
1,5:44,3,8,NYG 29,3,0,Aaron Rodgers pass incomplete deep right intended for Greg Jennings,2.540,1.500
1,5:38,4,8,NYG 29,3,3,Mason Crosby 47 yard field goal good,1.500,3.000
1,5:33,,,GNB 35,3,3,"Mason Crosby kicks off 70 yards, touchback",0.000,0.280
1,5:33,1,10,NYG 20,3,3,Eli Manning pass incomplete short right intended for Jake Ballard,0.280,-0.270
1,5:29,2,10,NYG 20,3,3,DJ Ware left end for -1 yards (tackle by Ryan Pickett),-0.270,-1.140
1,4:47,3,11,NYG 19,3,3,Eli Manning pass complete short middle to Hakeem Nicks for 15 yards (tackle by Brad Jones),-1.140,1.200
1,4:00,1,10,NYG 34,9,3,"Eli Manning pass complete deep middle to Hakeem Nicks for 66 yards, touchdown",1.200,7.000
1,4:00,,,GNB 2,10,3,Lawrence Tynes kicks extra point good,0.000,0.000
1,3:47,,,NYG 35,10,3,"Lawrence Tynes kicks off 55 yards, out of bounds",0.000,1.600
1,3:47,1,10,GNB 40,10,3,Ryan Grant left end for 5 yards (tackle by Michael Boley),1.600,1.730
1,3:30,2,5,GNB 45,10,3,Ryan Grant left end for no gain (tackle by Linval Joseph),1.730,1.030
1,2:49,3,5,GNB 45,10,3,Aaron Rodgers right end for 6 yards (tackle by Antrel Rolle),1.030,2.320
1,2:14,1,10,NYG 49,10,3,Aaron Rodgers pass complete short left to Jordy Nelson for 11 yards (tackle by Aaron Ross),2.320,3.050
1,1:45,1,10,NYG 38,10,3,Aaron Rodgers pass complete short right to Greg Jennings for 6 yards (tackle by Deon Grant),3.050,3.320
,,,,,,,"NYG challenged the runner was down by contact ruling, and the play was upheld.",,
1,1:34,2,4,NYG 32,10,3,"Aaron Rodgers pass incomplete deep middle intended for Greg Jennings. Penalty on Rocky Bernard: Defensive Offside, 5 yards (no play)",3.320,3.780
1,1:29,1,10,NYG 27,10,3,Aaron Rodgers pass incomplete short right intended for James Jones,3.780,3.230
1,1:21,2,10,NYG 27,10,3,Aaron Rodgers pass complete short middle to James Jones for 16 yards (tackle by Corey Webster),3.230,4.840
1,0:35,1,10,NYG 11,10,3,Brandon Saine right guard for 3 yards (tackle by Jacquian Williams),4.840,4.700
Quarter,Time,Down,ToGo,Location,NYG,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NYG 8,10,9,"Aaron Rodgers pass complete short left to John Kuhn for 8 yards, touchdown",4.700,7.000
2,15:00,,,NYG 2,10,10,Mason Crosby kicks extra point good,0.000,0.000
2,14:54,,,GNB 35,10,10,"Mason Crosby kicks onside 10 yards, recovered by Derrick Martin and returned for 4 yards",0.000,2.850
2,14:52,1,10,GNB 41,10,10,Eli Manning pass complete short middle to Travis Beckum for 12 yards (tackle by Charlie Peprah and Ryan Pickett),2.850,3.640
2,14:11,1,10,GNB 29,10,10,Ahmad Bradshaw right tackle for -1 yards (tackle by Jarrett Bush),3.640,2.970
2,13:29,2,11,GNB 30,10,10,Eli Manning pass complete short middle to Ahmad Bradshaw for 9 yards (tackle by Tramon Williams and Desmond Bishop),2.970,3.470
2,12:41,3,2,GNB 21,10,10,Eli Manning pass incomplete short left intended for Devin Thomas (defended by Sam Shields),3.470,2.180
2,12:37,4,2,GNB 21,10,10,"Lawrence Tynes 40 yard field goal no good, blocked by Brad Jones",2.180,-0.940
2,12:32,1,10,GNB 30,10,10,"Aaron Rodgers right end for 3 yards (tackle by Michael Boley). Penalty on Scott Wells: Offensive Holding, 10 yards (no play)",0.940,0.280
2,12:12,1,20,GNB 20,10,10,Aaron Rodgers pass complete short middle to Randall Cobb for 11 yards (tackle by Kenny Phillips),0.280,0.530
2,11:38,2,9,GNB 31,10,10,Aaron Rodgers pass incomplete short left intended for Jordy Nelson (defended by Aaron Ross),0.530,-0.160
2,11:33,3,9,GNB 31,10,10,Aaron Rodgers left tackle for 10 yards (tackle by Deon Grant),-0.160,1.660
2,11:01,1,10,GNB 41,10,10,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Michael Boley),1.660,1.930
2,10:30,2,4,GNB 47,10,10,Aaron Rodgers left guard for 7 yards (tackle by Michael Boley),1.930,2.520
2,10:02,1,10,NYG 46,10,10,James Starks up the middle for 3 yards (tackle by Michael Boley and Linval Joseph),2.520,2.380
2,9:25,2,7,NYG 43,10,10,Aaron Rodgers pass incomplete short right intended for James Starks,2.380,1.680
2,9:17,3,7,NYG 43,10,10,Aaron Rodgers pass incomplete short middle intended for Tom Crabtree,1.680,0.400
2,9:12,4,7,NYG 43,10,10,"Tim Masthay punts 43 yards, touchback",0.400,-0.280
2,9:03,1,10,NYG 20,10,10,Brandon Jacobs right end for 4 yards (tackle by Morgan Burnett),0.280,0.270
2,8:22,2,6,NYG 24,10,10,Eli Manning pass complete deep left to Victor Cruz for 18 yards,0.270,1.730
2,7:53,1,10,NYG 42,10,10,Brandon Jacobs left tackle for 2 yards (tackle by C.J. Wilson),1.730,1.460
2,7:12,2,8,NYG 44,10,10,Eli Manning pass incomplete deep left intended for Hakeem Nicks,1.460,0.760
2,7:07,3,8,NYG 44,10,10,Eli Manning pass complete deep left to Jake Ballard for 17 yards (tackle by Morgan Burnett),0.760,2.980
2,6:29,1,10,GNB 39,10,10,Eli Manning pass incomplete short right intended for Ahmad Bradshaw,2.980,2.440
2,6:23,2,10,GNB 39,10,10,Eli Manning pass complete short left to Hakeem Nicks for 5 yards (tackle by Tramon Williams),2.440,2.410
2,5:42,3,5,GNB 34,10,10,Eli Manning pass incomplete deep middle intended for Hakeem Nicks is intercepted by Morgan Burnett at GNB-13 and returned for 12 yards (tackle by DJ Ware),2.410,-0.610
2,5:27,1,10,GNB 25,10,10,James Starks up the middle for 1 yard (tackle by Kenny Phillips and Rocky Bernard),0.610,0.200
2,4:54,2,9,GNB 26,10,10,Aaron Rodgers up the middle for 2 yards (tackle by Justin Tuck),0.200,-0.230
2,4:11,3,7,GNB 28,10,10,Aaron Rodgers pass complete short left to Greg Jennings for 10 yards (tackle by Antrel Rolle),-0.230,1.470
2,3:48,1,10,GNB 38,10,10,"John Kuhn left guard for 2 yards. John Kuhn fumbles, recovered by Antrel Rolle at GNB-43 and returned for 9 yards (tackle by T.J. Lang)",1.470,-3.310
2,3:37,1,10,GNB 34,10,10,Eli Manning pass complete short left to Hakeem Nicks for 29 yards (tackle by Charlie Peprah),3.310,6.060
2,3:06,1,5,GNB 5,10,10,Ahmad Bradshaw left end for 4 yards (tackle by Clay Matthews and Frank Zombo),6.060,5.910
2,2:27,2,1,GNB 1,10,10,Brandon Jacobs left end for -4 yards (tackle by Desmond Bishop),5.910,4.260
2,2:00,3,5,GNB 5,10,10,Eli Manning pass incomplete short middle intended for Jake Ballard (defended by Morgan Burnett),4.260,3.010
2,1:56,4,5,GNB 5,13,10,Lawrence Tynes 23 yard field goal good,3.010,3.000
2,1:51,,,NYG 35,13,10,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
2,1:51,1,10,GNB 20,13,10,Aaron Rodgers pass incomplete short middle intended for John Kuhn,0.280,-0.270
2,1:47,2,10,GNB 20,13,10,Aaron Rodgers pass complete short middle to Jermichael Finley for 14 yards (tackle by Deon Grant),-0.270,1.200
2,1:24,1,10,GNB 34,13,10,Aaron Rodgers pass complete short right to Jermichael Finley for 4 yards (tackle by Corey Webster),1.200,1.200
2,1:00,2,6,GNB 38,13,10,Aaron Rodgers pass incomplete short right intended for John Kuhn,1.200,0.500
2,0:54,3,6,GNB 38,13,10,Aaron Rodgers sacked by Michael Boley for -5 yards,0.500,0.000
2,0:48,,,,13,10,Timeout #3 by New York Giants,0.000,-1.180
2,0:48,4,11,GNB 33,13,10,"Tim Masthay punts 36 yards, fair catch by Will Blackmon",-1.180,-1.000
2,0:41,1,10,NYG 31,13,10,Eli Manning pass complete short middle to Ahmad Bradshaw for 9 yards (tackle by Mike Neal),1.000,1.680
2,0:19,2,1,NYG 40,13,10,Eli Manning pass incomplete short middle intended for Jake Ballard,1.680,0.000
2,0:15,,,,13,10,Timeout #1 by Green Bay Packers,0.000,0.960
2,0:15,3,1,NYG 40,13,10,Ahmad Bradshaw for 23 yards (tackle by Tramon Williams),0.960,3.120
2,0:06,1,10,GNB 37,19,10,"Eli Manning pass complete deep left to Hakeem Nicks for 37 yards, touchdown",3.120,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:06,,,GNB 2,20,10,Lawrence Tynes kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,NYG,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,20,10,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,GNB 20,20,10,Aaron Rodgers pass incomplete short right intended for Ryan Taylor,0.280,-0.270
3,14:52,2,10,GNB 20,20,10,Aaron Rodgers pass complete short right to Greg Jennings for 14 yards (tackle by Corey Webster),-0.270,1.200
3,14:10,1,10,GNB 34,20,10,Ryan Grant right tackle for no gain (tackle by Rocky Bernard),1.200,0.660
3,13:24,2,10,GNB 34,20,10,Aaron Rodgers pass incomplete deep middle intended for Greg Jennings,0.660,-0.030
3,13:19,3,10,GNB 34,20,10,Aaron Rodgers right end for 15 yards (tackle by Mathias Kiwanuka),-0.030,2.190
3,12:43,1,10,GNB 49,20,10,Ryan Grant left end for 4 yards (tackle by Mathias Kiwanuka),2.190,2.190
3,12:05,2,6,NYG 47,20,10,Ryan Grant left end for 1 yard (tackle by Linval Joseph),2.190,1.620
3,11:22,3,5,NYG 46,20,10,Aaron Rodgers pass complete short left to Donald Driver for 16 yards (tackle by Kenny Phillips),1.620,3.580
3,10:36,1,10,NYG 30,20,10,"Aaron Rodgers sacked by Osi Umenyiora for -7 yards. Aaron Rodgers fumbles (forced by Osi Umenyiora), recovered by Deon Grant at NYG-37 (tackle by T.J. Lang)",3.580,-1.400
3,10:28,1,10,NYG 37,20,10,Eli Manning pass complete short left to Hakeem Nicks for 7 yards (tackle by Tramon Williams),1.400,1.800
3,9:57,2,3,NYG 44,20,10,Brandon Jacobs left tackle for 1 yard (tackle by Ryan Pickett),1.800,1.220
3,9:21,3,2,NYG 45,20,10,DJ Ware left guard for 1 yard (tackle by Desmond Bishop),1.220,-0.320
3,9:01,4,1,NYG 46,20,10,"Steve Weatherford punts 45 yards, returned by Randall Cobb for 16 yards (tackle by Chase Blackburn)",-0.320,-0.610
3,8:48,1,10,GNB 25,20,10,Aaron Rodgers pass incomplete deep left intended for Jordy Nelson (defended by Aaron Ross),0.610,0.060
3,8:40,2,10,GNB 25,20,10,Ryan Grant up the middle for 4 yards (tackle by Jason Pierre-Paul),0.060,-0.100
3,7:56,3,6,GNB 29,20,10,"Penalty on Scott Wells: False Start, 5 yards (no play)",-0.100,-0.760
3,7:40,3,11,GNB 24,20,10,Aaron Rodgers pass complete short right to Donald Driver for 13 yards (tackle by Jacquian Williams),-0.760,1.400
3,7:01,1,10,GNB 37,20,10,Aaron Rodgers pass incomplete short middle intended for Ryan Grant (defended by Deon Grant),1.400,0.860
3,6:56,2,10,GNB 37,20,10,Aaron Rodgers pass complete short right to James Starks for 12 yards (tackle by Jason Pierre-Paul),0.860,2.190
3,6:12,1,10,GNB 49,20,10,James Starks right end for 29 yards (tackle by Antrel Rolle),2.190,4.110
3,5:26,1,10,NYG 22,20,10,James Starks right end for 5 yards (tackle by Michael Boley),4.110,4.290
3,4:47,2,5,NYG 17,20,10,Ryan Grant right tackle for no gain (tackle by Rocky Bernard),4.290,3.560
3,4:01,3,5,NYG 17,20,10,Aaron Rodgers pass incomplete deep left intended for Greg Jennings (defended by Antrel Rolle),3.560,2.360
3,3:55,4,5,NYG 17,20,13,Mason Crosby 35 yard field goal good,2.360,3.000
3,3:50,,,GNB 35,20,13,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
3,3:50,1,10,NYG 20,20,13,"Ahmad Bradshaw right tackle for 2 yards (tackle by Charles Woodson). Penalty on Chris Snee: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,3:20,1,20,NYG 10,20,13,Eli Manning pass incomplete short middle intended for Ahmad Bradshaw,-0.760,-1.510
3,3:15,2,20,NYG 10,20,13,Eli Manning pass complete short middle to Ahmad Bradshaw for 3 yards (tackle by Clay Matthews),-1.510,-2.190
3,2:29,3,17,NYG 13,20,13,Eli Manning right tackle for 12 yards (tackle by Charlie Peprah),-2.190,-1.700
3,1:51,4,5,NYG 25,20,13,"Steve Weatherford punts 51 yards, out of bounds",-1.700,-0.540
3,1:41,1,10,GNB 24,20,13,James Starks right end for 1 yard (tackle by Chase Blackburn),0.540,0.130
3,1:01,2,9,GNB 25,20,13,Aaron Rodgers right end for 10 yards (tackle by Michael Boley),0.130,1.270
3,0:16,1,10,GNB 35,20,13,James Starks right end for 4 yards (tackle by Jacquian Williams),1.270,1.260
Quarter,Time,Down,ToGo,Location,NYG,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,GNB 39,20,13,Aaron Rodgers pass complete short right to Jordy Nelson for 17 yards (tackle by Antrel Rolle),1.260,2.650
4,14:23,1,10,NYG 44,20,13,Aaron Rodgers pass complete short left to Jermichael Finley for no gain,2.650,2.110
4,13:51,2,10,NYG 44,20,13,Aaron Rodgers pass complete short middle to James Starks for 5 yards (tackle by Rocky Bernard and Chase Blackburn),2.110,2.080
4,13:04,3,5,NYG 39,20,13,Aaron Rodgers pass incomplete short middle intended for Jermichael Finley,2.080,0.660
4,13:00,4,5,NYG 39,20,13,Aaron Rodgers sacked by Michael Boley for -6 yards,0.660,-1.930
4,12:54,1,10,NYG 45,20,13,Eli Manning pass complete short right to Hakeem Nicks for 6 yards (tackle by Clay Matthews),1.930,2.190
4,12:24,2,4,GNB 49,20,13,Brandon Jacobs up the middle for 3 yards (tackle by C.J. Wilson and B.J. Raji),2.190,1.880
4,11:38,3,1,GNB 46,20,13,Eli Manning pass complete short right to Mario Manningham for 8 yards (tackle by Tramon Williams),1.880,3.050
4,11:10,1,10,GNB 38,20,13,"Eli Manning pass incomplete short left intended for Victor Cruz. Penalty on Tramon Williams: Defensive Holding, 5 yards (no play)",3.050,3.380
4,11:05,1,10,GNB 33,20,13,Brandon Jacobs up the middle for 5 yards (tackle by Erik Walden),3.380,3.510
4,10:23,2,5,GNB 28,20,13,Eli Manning pass incomplete short middle intended for Jake Ballard (defended by Charles Woodson),3.510,2.810
4,10:18,3,5,GNB 28,20,13,Eli Manning pass complete short middle to Victor Cruz for 11 yards (tackle by Charlie Peprah),2.810,4.440
4,9:47,1,10,GNB 17,20,13,Ahmad Bradshaw left guard for 4 yards (tackle by C.J. Wilson and Brad Jones),4.440,4.500
4,9:09,2,6,GNB 13,20,13,Brandon Jacobs left end for 1 yard (tackle by Morgan Burnett),4.500,3.880
4,8:28,3,5,GNB 12,20,13,Eli Manning sacked by Brad Jones for -5 yards,3.880,2.310
4,7:53,4,10,GNB 17,23,13,Lawrence Tynes 35 yard field goal good,2.310,3.000
4,,,,NYG 35,,,"Lawrence Tynes kicks off 57 yards, returned by Sam Shields for 21 yards (tackle by Will Blackmon)",,
4,7:40,1,10,GNB 29,23,13,Aaron Rodgers pass complete short middle to Ryan Grant for 5 yards (tackle by Antrel Rolle),0.870,1.000
4,7:08,2,5,GNB 34,23,13,"Aaron Rodgers pass complete short left to Ryan Grant for 10 yards (tackle by Kenny Phillips). Ryan Grant fumbles (forced by Kenny Phillips), recovered by Chase Blackburn at GNB-44 and returned for 40 yards (tackle by Aaron Rodgers)",1.000,-6.280
4,6:53,1,4,GNB 4,29,13,"Eli Manning pass complete short middle to Mario Manningham for 4 yards, touchdown",6.280,7.000
4,6:53,,,GNB 2,30,13,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 35,,,"Lawrence Tynes kicks off 63 yards, returned by Sam Shields for 22 yards (tackle by Jacquian Williams)",,
4,6:39,1,10,GNB 24,30,13,Aaron Rodgers pass incomplete short right intended for Jermichael Finley (defended by Jason Pierre-Paul),0.540,0.000
4,6:35,2,10,GNB 24,30,13,Aaron Rodgers pass incomplete short left intended for Ryan Grant,0.000,-0.690
4,6:28,3,10,GNB 24,30,13,"Aaron Rodgers pass incomplete deep left intended for Donald Driver. Penalty on Osi Umenyiora: Roughing the Passer, 15 yards (no play)",-0.690,1.530
4,6:18,1,10,GNB 39,30,13,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,1.530,0.990
4,6:13,2,10,GNB 39,30,13,Aaron Rodgers pass complete short middle to Randall Cobb for 21 yards (tackle by Antrel Rolle),0.990,2.920
4,5:53,1,10,NYG 40,30,13,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,2.920,2.370
4,5:48,2,10,NYG 40,30,13,Aaron Rodgers left end for 16 yards (tackle by Deon Grant),2.370,3.970
4,5:23,1,10,NYG 24,30,13,Aaron Rodgers pass complete short left to James Starks for 8 yards (tackle by Jacquian Williams),3.970,4.650
4,4:52,2,2,NYG 16,30,19,"Aaron Rodgers pass complete deep middle to Donald Driver for 16 yards, touchdown",4.650,7.000
4,4:52,,,NYG 2,30,20,Mason Crosby kicks extra point good,0.000,0.000
4,4:46,,,GNB 35,30,20,"Mason Crosby kicks onside 15 yards, recovered by Victor Cruz",0.000,2.260
4,4:44,1,10,,30,20,Ahmad Bradshaw right end for -1 yards (tackle by Desmond Bishop),2.260,0.000
4,4:37,,,,30,20,Timeout #1 by Green Bay Packers,0.000,1.580
